feed_schema_version,feed_updated_at,strategy_id,strategy_name,strategy_research_status,trade_id,status,result,symbol,right,contract_id,strike,expiration,dte,entry_time,entry_quote_time,entry_bid,entry_ask,entry_underlying_price,target_bid,stop_bid,exit_time,exit_bid,exit_ask,exit_reason,exit_all_reasons,return_percent,gross_pnl,net_pnl,signal_bar_time,decision_time,absolute_delta,entry_spread_percent,momentum_percent,rsi,spread_percent,underlying_return_15m_percent,underlying_acceleration_5m_pp,option_vwap_deviation_percent,option_vwap_was_imputed,opening_low_distance_percent,keep_branch,paper_cash_after_entry,paper_cash_after_exit,realized_pnl_after_exit,opened_at,closed_at,record_updated_at,paper_only
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260805-NVDA-1425,closed,loss,NVDA,call,NVDA260807C00222500,222.5,2026-08-07,2,2026-08-05T14:30:00-04:00,2026-08-05T14:30:00-04:00,2.5100000000000002,2.5300000000000002,221.59,3.54200000000000028,2.02400000000000016,2026-08-05T15:45:00-04:00,1.92,1.94,stop_loss_20,stop_loss_20,-24.11067193675889927978877970,-61.00000000000002,-61.00000000000002,,2026-08-05T14:25:00-04:00,0.4667,0.7936507936507935878054925674,,,,0.385068406269819697381534800,-0.081561940605194274146876700,8.407079646017689521497376500,false,-2.116521503677963807031003200,low_delta_acceleration (leaves 3/4),98284.0000000000000500,98666.0000000000000600,-763.9999999999999400,2026-08-05T14:30:00-04:00,2026-08-05T15:45:00-04:00,2026-08-05T19:45:15.837392+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260805-AAPL-1425,closed,loss,AAPL,put,AAPL260807P00307500,307.5,2026-08-07,2,2026-08-05T14:30:00-04:00,2026-08-05T14:30:00-04:00,2.38,2.41,308.34000000000003,3.374,1.928,2026-08-05T14:56:00-04:00,1.9000000000000001,1.96,stop_loss_20,stop_loss_20,-21.16182572614107468879668050,-50.99999999999999,-50.99999999999999,,2026-08-05T14:25:00-04:00,0.4515,1.252609603340292275574112735,,,,-0.1004373886278956649501971200,-0.1166663690573003872773051000,-1.287553648068656652360515020,false,-0.7913342414218070190697696000,low_delta_acceleration (leaves 3/4),98537.0000000000000700,98474.0000000000000600,-702.9999999999999200,2026-08-05T14:30:00-04:00,2026-08-05T14:56:00-04:00,2026-08-05T18:56:19.869562+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260805-TSLA-1225,closed,loss,TSLA,call,TSLA260807C00322500,322.5,2026-08-07,2,2026-08-05T12:30:00-04:00,2026-08-05T12:30:00-04:00,5.3500000000000005,5.45,322.83,7.630,4.360,2026-08-05T13:50:00-04:00,4.3500000000000005,4.45,stop_loss_20,stop_loss_20,-20.18348623853210091743119266,-109.99999999999995,-109.99999999999995,,2026-08-05T12:25:00-04:00,0.5465,1.851851851851842506858710562,,,,0.198640553710543468139917400,0.080605062614876984742122000,-14.09708637907958406259652012,false,-0.5606666047145556484837220800,high_delta_vwap_opening_low (leaf 10),97943.0000000000000200,98778.0000000000000700,-651.9999999999999300,2026-08-05T12:30:00-04:00,2026-08-05T13:50:00-04:00,2026-08-05T17:50:15.758313+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260805-TSLA-1125,closed,loss,TSLA,put,TSLA260807P00322500,322.5,2026-08-07,2,2026-08-05T11:30:00-04:00,2026-08-05T11:30:00-04:00,4.95,5.05,322.44,7.070,4.040,2026-08-05T12:47:00-04:00,4.0,4.15,stop_loss_20,stop_loss_20,-20.79207920792079207920792079,-105,-105,,2026-08-05T11:25:00-04:00,0.4965,2,,,,-0.3553879909762445976030170000,-0.3285147160347462683802543600,8.552631578947356518351800600,false,-0.4403920109167597072323533100,low_delta_acceleration (leaves 3/4),98488.0000000000000200,98343.0000000000000200,-541.9999999999999800,2026-08-05T11:30:00-04:00,2026-08-05T12:47:00-04:00,2026-08-05T16:47:17.443188+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260805-TSLA-1025,closed,win,TSLA,put,TSLA260807P00325000,325.0,2026-08-07,2,2026-08-05T10:30:00-04:00,2026-08-05T10:30:00-04:00,5.55,5.7,324.99,7.98,4.56,2026-08-05T15:55:00-04:00,5.8,6.45,end_of_session_1555,end_of_session_1555,1.754385964912280701754386000,10,10,,2026-08-05T10:25:00-04:00,0.5169,2.666666666666666666666666667,,,,-0.4106272791346183311371924100,0.0799730320338108736251003300,-5.511042517610697941070865340,false,-1.221576048493799809224899230,high_delta_vwap_opening_low (leaf 10),98993.0000000000000200,99246.0000000000000600,-753.9999999999999400,2026-08-05T10:30:00-04:00,2026-08-05T15:55:00-04:00,2026-08-05T19:55:15.670324+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260804-AAPL-1425,closed,loss,AAPL,put,AAPL260807P00310000,310.0,2026-08-07,3,2026-08-04T14:30:00-04:00,2026-08-04T14:30:00-04:00,3.8000000000000003,3.9,309.47,5.46,3.12,2026-08-04T15:50:00-04:00,2.86,3.45,stop_loss_20,stop_loss_20,-26.66666666666666666666666667,-104,-104,,2026-08-04T14:25:00-04:00,0.521,2.597402597402589509192106595,,,,-0.1516422533393560043879460500,-0.1000472567332295112157924900,-11.16504854368932038834951456,false,-2.226387048825411186867870880,high_delta_vwap_opening_low (leaf 10),98121.9999999999999900,99257.9999999999999900,-450.0000000000000100,2026-08-04T14:30:00-04:00,2026-08-04T15:50:00-04:00,2026-08-04T19:50:16.506532+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260804-NVDA-1325,closed,win,NVDA,call,NVDA260807C00212500,212.5,2026-08-07,3,2026-08-04T13:30:00-04:00,2026-08-04T13:30:00-04:00,2.9,2.92,211.27,4.088,2.336,2026-08-04T15:55:00-04:00,3.0500000000000003,3.15,end_of_session_1555,end_of_session_1555,4.452054794520558219178082200,13.00000000000003,13.00000000000003,,2026-08-04T13:25:00-04:00,0.462,0.6872852233676975945017182131,,,,0.004733503739467954179683800,-0.0946432004527108712322893400,6.343283582089552238805970100,false,-0.8851233019359113930042126200,low_delta_acceleration (leaves 3/4),98211.9999999999999900,99563.0000000000000200,-436.9999999999999800,2026-08-04T13:30:00-04:00,2026-08-04T15:55:00-04:00,2026-08-04T19:55:16.370630+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260804-AAPL-1325,closed,loss,AAPL,put,AAPL260807P00310000,310.0,2026-08-07,3,2026-08-04T13:30:00-04:00,2026-08-04T13:30:00-04:00,4.1,4.2,308.92,5.88,3.36,2026-08-04T15:38:00-04:00,3.35,3.5500000000000003,stop_loss_20,stop_loss_20,-20.23809523809523809523809524,-85,-85,,2026-08-04T13:25:00-04:00,0.5381,2.409638554216867469879518072,,,,-0.2228610187009463518620199600,-0.1099797283792657071679136000,-14.76066144473455757064265214,false,-2.052311278000776900168328370,high_delta_vwap_opening_low (leaf 10),98503.9999999999999900,98971.9999999999999900,-346.0000000000000100,2026-08-04T13:30:00-04:00,2026-08-04T15:38:00-04:00,2026-08-04T19:38:16.320250+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260804-TSLA-1225,closed,loss,TSLA,put,TSLA260805P00325000,325.0,2026-08-05,1,2026-08-04T12:30:00-04:00,2026-08-04T12:30:00-04:00,4.45,4.5,325.26,6.30,3.60,2026-08-04T13:22:00-04:00,3.45,3.5500000000000003,stop_loss_20,stop_loss_20,-23.33333333333333333333333333,-105,-105,,2026-08-04T12:25:00-04:00,0.5068,1.117318435754189944134078212,,,,-0.0491672300411775551594862000,-0.114091013199833036569651800,-22.57896821467472026933359738,false,-1.094509008178072926274365120,high_delta_vwap_opening_low (leaf 10),97443.9999999999999900,98923.9999999999999900,-502.0000000000000100,2026-08-04T12:30:00-04:00,2026-08-04T13:22:00-04:00,2026-08-04T17:22:40.136182+00:00,true
mbbot.live-trades.feed.v1,2026-08-05T19:55:15.670324+00:00,a2_pt40_sl20_combined_v1,A2 exact PT40/SL20 + combined keep filter,exploratory_post_hoc_paper,A2C-20260804-NVDA-1225,closed,win,NVDA,call,NVDA260807C00210000,210.0,2026-08-07,3,2026-08-04T12:30:00-04:00,2026-08-04T12:30:00-04:00,3.5,3.6,210.51,5.04,2.88,2026-08-04T14:37:00-04:00,5.15,5.2,profit_target_40,profit_target_40,43.05555555555555555555555560,155,155,,2026-08-04T12:25:00-04:00,0.5214,2.816901408450704225352112676,,,,0.014253135689842263944019800,-0.3559439966375149436268227600,-2.3437500,false,-0.5272908650420407581587573000,high_delta_vwap_opening_low (leaf 10),97893.9999999999999900,98636.9999999999999900,-261.0000000000000100,2026-08-04T12:30:00-04:00,2026-08-04T14:37:00-04:00,2026-08-04T18:37:41.646498+00:00,true
