candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions,exit_id,setup_id,split,session_count,winner_retention,loser_removal,expectancy_improvement_vs_baseline,training_expectancy_improvement,heldout_expectancy_improvement,improvement_survival_ratio,improvement_sign_survived
3487,3482,5,1395,2057,30,0.4006318207926479,173842.0,-209760.0,0.8287662090007628,-35918.0,-10.315336013785181,-2.093571508557548,-5.769415417113416,64082.0,-35.918,40457.0,39.898028619047146,349.86602870813397,end_of_session_1555,baseline,full,209,1.0,0.0,0.0,0.0,0.0,,False
1170,1170,0,488,674,8,0.4170940170940171,64991.0,-70952.0,0.9159854549554628,-5961.000000000002,-5.094871794871796,-0.7311915684796998,-5.947131505213354,94039.0,-5.961000000000002,9240.0,9.226989944178708,390.00000000000006,end_of_session_1555,baseline,heldout,63,1.0,0.0,0.0,0.0,0.0,,False
2317,2312,5,907,1383,22,0.3923010380622837,108851.0,-138808.0,0.7841839087084318,-29957.0,-12.957179930795848,-2.783011184115974,-5.679723502304146,70043.0,-29.957,31358.0,30.92474433190994,332.54794520547944,end_of_session_1555,baseline,train,146,1.0,0.0,0.0,0.0,0.0,,False
1202,1201,1,582,610,9,0.4845961698584513,73550.0,-57192.0,1.2860190236396698,16358.0,13.620316402997503,3.494441683803874,-0.8130081300812941,116358.0,16.358,4008.0,3.4694990521203937,120.67464114832535,end_of_session_1555,combined,full,209,0.4172043010752688,0.7034516285853184,23.935652416782684,27.77390809807752,16.208273856727466,0.5835791563611239,True
388,388,0,175,209,4,0.45103092783505155,25398.0,-21086.0,1.2044958740396472,4311.999999999999,11.113402061855668,3.8647433391344337,-2.9620927318295687,104312.0,4.311999999999999,4008.0,3.873399371828944,129.33333333333334,end_of_session_1555,combined,heldout,63,0.35860655737704916,0.6899109792284867,16.208273856727466,27.77390809807752,16.208273856727466,0.5835791563611239,True
814,813,1,407,401,5,0.5006150061500615,48152.0,-36106.0,1.3336287597629204,12046.0,14.816728167281672,3.317717154568624,0.39215686274509665,112046.0,12.046,3661.0,3.4418246089049336,116.93835616438356,end_of_session_1555,combined,train,146,0.4487320837927233,0.7100506146059291,27.77390809807752,27.77390809807752,16.208273856727466,0.5835791563611239,True
1202,1201,1,582,610,9,0.4845961698584513,73550.0,-57192.0,1.2860190236396698,16358.0,13.620316402997503,3.494441683803874,-0.8130081300812941,116358.0,16.358,4008.0,3.4694990521203937,120.67464114832535,end_of_session_1555,exclusion,full,209,0.4172043010752688,0.7034516285853184,23.935652416782684,27.77390809807752,16.208273856727466,0.5835791563611239,True
388,388,0,175,209,4,0.45103092783505155,25398.0,-21086.0,1.2044958740396472,4311.999999999999,11.113402061855668,3.8647433391344337,-2.9620927318295687,104312.0,4.311999999999999,4008.0,3.873399371828944,129.33333333333334,end_of_session_1555,exclusion,heldout,63,0.35860655737704916,0.6899109792284867,16.208273856727466,27.77390809807752,16.208273856727466,0.5835791563611239,True
814,813,1,407,401,5,0.5006150061500615,48152.0,-36106.0,1.3336287597629204,12046.0,14.816728167281672,3.317717154568624,0.39215686274509665,112046.0,12.046,3661.0,3.4418246089049336,116.93835616438356,end_of_session_1555,exclusion,train,146,0.4487320837927233,0.7100506146059291,27.77390809807752,27.77390809807752,16.208273856727466,0.5835791563611239,True
3487,3482,5,1395,2057,30,0.4006318207926479,173842.0,-209760.0,0.8287662090007628,-35918.0,-10.315336013785181,-2.093571508557548,-5.769415417113416,64082.0,-35.918,40457.0,39.898028619047146,349.86602870813397,end_of_session_1555,inclusion,full,209,1.0,0.0,0.0,0.0,0.0,,False
1170,1170,0,488,674,8,0.4170940170940171,64991.0,-70952.0,0.9159854549554628,-5961.000000000002,-5.094871794871796,-0.7311915684796998,-5.947131505213354,94039.0,-5.961000000000002,9240.0,9.226989944178708,390.00000000000006,end_of_session_1555,inclusion,heldout,63,1.0,0.0,0.0,0.0,0.0,,False
2317,2312,5,907,1383,22,0.3923010380622837,108851.0,-138808.0,0.7841839087084318,-29957.0,-12.957179930795848,-2.783011184115974,-5.679723502304146,70043.0,-29.957,31358.0,30.92474433190994,332.54794520547944,end_of_session_1555,inclusion,train,146,1.0,0.0,0.0,0.0,0.0,,False
192,191,1,129,61,1,0.675392670157068,15797.0,-3734.0,4.230583824317086,12063.0,63.15706806282723,18.25684523525109,14.035087719298245,112063.0,12.063,541.0,0.5296184984679243,19.19138755980861,end_of_session_1555,quality_top_leaf,full,209,0.09247311827956989,0.9703451628585319,73.4724040766124,65.24624243079585,90.33296703296703,1.3844930170312828,True
63,63,0,41,22,0,0.6507936507936508,6540.0,-1170.0,5.589743589743589,5370.0,85.23809523809524,24.55462265601397,12.459016393442624,105370.0,5.37,286.0,0.2744695348413163,21.0,end_of_session_1555,quality_top_leaf,heldout,63,0.08401639344262295,0.9673590504451038,90.33296703296703,65.24624243079585,90.33296703296703,1.3844930170312828,True
129,128,1,88,39,1,0.6875,9257.0,-2564.0,3.610374414976599,6693.0,52.2890625,15.157157910969364,14.062998405103666,106693.0,6.6930000000000005,541.0,0.5296184984679243,18.410958904109588,end_of_session_1555,quality_top_leaf,train,146,0.0970231532524807,0.9718004338394794,65.24624243079585,65.24624243079585,90.33296703296703,1.3844930170312828,True
3487,3483,4,1382,1998,103,0.3967843812805053,51499.0,-72523.0,0.7101057595521421,-21024.0,-6.036175710594315,-1.1744868021663026,-1.639344262295095,78976.0,-21.024,21229.0,21.229,349.9665071770335,fixed_15m,baseline,full,209,1.0,0.0,0.0,0.0,0.0,,False
1170,1170,0,469,678,23,0.4008547008547009,18574.0,-24450.0,0.7596728016359918,-5876.000000000002,-5.022222222222224,-0.8509480312327052,-1.9672342621259054,94124.0,-5.876000000000002,6090.0,6.089451949324561,390.00000000000006,fixed_15m,baseline,heldout,63,1.0,0.0,0.0,0.0,0.0,,False
2317,2313,4,913,1320,80,0.39472546476437526,32925.0,-48073.0,0.6848958875044203,-15148.0,-6.549070471249459,-1.338144546218317,-1.552106430155198,84852.0,-15.148,15219.0,15.219,332.6917808219178,fixed_15m,baseline,train,146,1.0,0.0,0.0,0.0,0.0,,False
1334,1331,3,634,666,31,0.4763335837716003,24504.0,-25518.0,0.9602633435222196,-1013.9999999999986,-0.7618332081141989,0.18309012781780945,-0.22075055187636972,98986.0,-1.0139999999999987,4320.0,4.185316514561413,133.73684210526315,fixed_15m,combined,full,209,0.45875542691751087,0.6666666666666667,5.274342502480116,9.494955476886439,-3.1466966966966954,-0.331407209265667,False
444,444,0,186,254,4,0.4189189189189189,6546.0,-10173.0,0.6434680035387791,-3627.0,-8.16891891891892,-1.1632952850298914,-2.2079135521611946,96373.0,-3.627,3715.0,3.7150000000000003,148.0,fixed_15m,combined,heldout,63,0.39658848614072495,0.6253687315634218,-3.1466966966966954,9.494955476886439,-3.1466966966966954,-0.331407209265667,False
890,887,3,448,412,27,0.5050732807215332,17958.0,-15345.0,1.1702834799608992,2613.000000000001,2.9458850056369794,0.8570417888148546,0.32573289902280145,102613.0,2.613000000000001,1130.0,1.0959013688768011,127.58219178082192,fixed_15m,combined,train,146,0.49069003285870755,0.6878787878787879,9.494955476886439,9.494955476886439,-3.1466966966966954,-0.331407209265667,False
1334,1331,3,634,666,31,0.4763335837716003,24504.0,-25518.0,0.9602633435222196,-1013.9999999999986,-0.7618332081141989,0.18309012781780945,-0.22075055187636972,98986.0,-1.0139999999999987,4320.0,4.185316514561413,133.73684210526315,fixed_15m,exclusion,full,209,0.45875542691751087,0.6666666666666667,5.274342502480116,9.494955476886439,-3.1466966966966954,-0.331407209265667,False
444,444,0,186,254,4,0.4189189189189189,6546.0,-10173.0,0.6434680035387791,-3627.0,-8.16891891891892,-1.1632952850298914,-2.2079135521611946,96373.0,-3.627,3715.0,3.7150000000000003,148.0,fixed_15m,exclusion,heldout,63,0.39658848614072495,0.6253687315634218,-3.1466966966966954,9.494955476886439,-3.1466966966966954,-0.331407209265667,False
