exit_id,setup_id,month,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions,cumulative_end_balance
end_of_session_1555,baseline,2025-07,5,81,81,0,42,39,0,0.5185185185185185,3482.0,-2305.0,1.5106290672451193,1176.9999999999995,14.530864197530859,6.270426337564168,0.9852216748768239,101177.0,1.1769999999999996,532.0,0.5308851412034727,340.2,101177.0
end_of_session_1555,baseline,2025-08,21,315,315,0,135,176,4,0.42857142857142855,10817.0,-14729.0,0.7344015208092878,-3912.0,-12.41904761904762,-3.777117050541449,-4.633204633204624,96088.0,-3.9120000000000004,4136.0,4.126756066411239,315.0,97265.0
end_of_session_1555,baseline,2025-09,21,317,317,0,133,184,0,0.4195583596214511,12926.0,-16903.0,0.7647163225462935,-3977.0,-12.545741324921135,-2.605874511137048,-4.347826086956519,96023.0,-3.977,5303.0,5.245509218960196,317.0,93288.0
end_of_session_1555,baseline,2025-10,23,367,367,0,127,235,5,0.3460490463215259,17472.0,-25506.0,0.6850152905198776,-8034.000000000001,-21.891008174386922,-5.235806986712517,-7.246376811594201,91966.0,-8.034,10363.0,10.128128695550192,335.0869565217391,85254.0
end_of_session_1555,baseline,2025-11,19,313,313,0,116,196,1,0.3706070287539936,23810.0,-25786.0,0.9233692701465912,-1975.9999999999993,-6.313099041533544,-0.9120190205057211,-8.37696335078535,98024.0,-1.9759999999999993,5574.0,5.534758561796861,345.9473684210526,83278.0
end_of_session_1555,baseline,2025-12,22,346,346,0,125,220,1,0.36127167630057805,16338.0,-21429.0,0.7624247515049699,-5090.999999999999,-14.71387283236994,-4.058226619642392,-7.214457831325305,94909.0,-5.090999999999999,6665.0,6.663933770596704,330.27272727272725,78187.0
end_of_session_1555,baseline,2026-01,20,315,315,0,137,169,9,0.43492063492063493,15336.0,-14230.0,1.0777231201686577,1106.0,3.511111111111111,2.809448190920106,-2.049180327868849,101106.0,1.106,2706.0,2.6973146468371842,330.75,79293.0
end_of_session_1555,baseline,2026-02,19,331,331,0,115,212,4,0.3474320241691843,10880.0,-22352.0,0.4867573371510379,-11472.0,-34.65861027190332,-8.108388208275807,-9.523809523809524,88528.0,-11.472,12030.0,11.985294850208723,365.8421052631579,67821.0
end_of_session_1555,baseline,2026-03,22,422,422,0,182,239,1,0.4312796208530806,26696.0,-26836.0,0.9947831271426442,-140.0000000000009,-0.3317535545023718,-0.10729364886306375,-6.3122262046993285,99860.0,-0.1400000000000009,6887.0,6.886311368863114,402.81818181818187,67681.0
end_of_session_1555,baseline,2026-04,21,384,384,0,166,214,4,0.4322916666666667,22084.0,-19021.0,1.1610325429788129,3062.999999999999,7.976562499999997,2.01127957022149,-3.8961038961038974,103063.0,3.062999999999999,2503.0,2.4014429765228487,384.0,70744.0
end_of_session_1555,baseline,2026-05,16,291,291,0,117,173,1,0.4020618556701031,14001.0,-20663.0,0.6775879591540435,-6662.000000000002,-22.893470790378014,-3.776185654970466,-7.500000000000007,93338.0,-6.662000000000001,7828.0,7.795104658341797,381.9375,64082.0
end_of_session_1555,inclusion,2025-07,5,81,81,0,42,39,0,0.5185185185185185,3482.0,-2305.0,1.5106290672451193,1176.9999999999995,14.530864197530859,6.270426337564168,0.9852216748768239,101177.0,1.1769999999999996,532.0,0.5308851412034727,340.2,101177.0
end_of_session_1555,inclusion,2025-08,21,315,315,0,135,176,4,0.42857142857142855,10817.0,-14729.0,0.7344015208092878,-3912.0,-12.41904761904762,-3.777117050541449,-4.633204633204624,96088.0,-3.9120000000000004,4136.0,4.126756066411239,315.0,97265.0
end_of_session_1555,inclusion,2025-09,21,317,317,0,133,184,0,0.4195583596214511,12926.0,-16903.0,0.7647163225462935,-3977.0,-12.545741324921135,-2.605874511137048,-4.347826086956519,96023.0,-3.977,5303.0,5.245509218960196,317.0,93288.0
end_of_session_1555,inclusion,2025-10,23,367,367,0,127,235,5,0.3460490463215259,17472.0,-25506.0,0.6850152905198776,-8034.000000000001,-21.891008174386922,-5.235806986712517,-7.246376811594201,91966.0,-8.034,10363.0,10.128128695550192,335.0869565217391,85254.0
end_of_session_1555,inclusion,2025-11,19,313,313,0,116,196,1,0.3706070287539936,23810.0,-25786.0,0.9233692701465912,-1975.9999999999993,-6.313099041533544,-0.9120190205057211,-8.37696335078535,98024.0,-1.9759999999999993,5574.0,5.534758561796861,345.9473684210526,83278.0
end_of_session_1555,inclusion,2025-12,22,346,346,0,125,220,1,0.36127167630057805,16338.0,-21429.0,0.7624247515049699,-5090.999999999999,-14.71387283236994,-4.058226619642392,-7.214457831325305,94909.0,-5.090999999999999,6665.0,6.663933770596704,330.27272727272725,78187.0
end_of_session_1555,inclusion,2026-01,20,315,315,0,137,169,9,0.43492063492063493,15336.0,-14230.0,1.0777231201686577,1106.0,3.511111111111111,2.809448190920106,-2.049180327868849,101106.0,1.106,2706.0,2.6973146468371842,330.75,79293.0
end_of_session_1555,inclusion,2026-02,19,331,331,0,115,212,4,0.3474320241691843,10880.0,-22352.0,0.4867573371510379,-11472.0,-34.65861027190332,-8.108388208275807,-9.523809523809524,88528.0,-11.472,12030.0,11.985294850208723,365.8421052631579,67821.0
end_of_session_1555,inclusion,2026-03,22,422,422,0,182,239,1,0.4312796208530806,26696.0,-26836.0,0.9947831271426442,-140.0000000000009,-0.3317535545023718,-0.10729364886306375,-6.3122262046993285,99860.0,-0.1400000000000009,6887.0,6.886311368863114,402.81818181818187,67681.0
end_of_session_1555,inclusion,2026-04,21,384,384,0,166,214,4,0.4322916666666667,22084.0,-19021.0,1.1610325429788129,3062.999999999999,7.976562499999997,2.01127957022149,-3.8961038961038974,103063.0,3.062999999999999,2503.0,2.4014429765228487,384.0,70744.0
end_of_session_1555,inclusion,2026-05,16,291,291,0,117,173,1,0.4020618556701031,14001.0,-20663.0,0.6775879591540435,-6662.000000000002,-22.893470790378014,-3.776185654970466,-7.500000000000007,93338.0,-6.662000000000001,7828.0,7.795104658341797,381.9375,64082.0
