trade_id,exit_id,exit_status,exit_reason,exit_detection_time,exit_time,exit_bid,holding_minutes,premium_dollars,pnl_dollars,trade_return_pct,label,session_date,symbol,decision_time,entry_time,entry_quote_timestamp,entry_slot,weekday,contract_id,expiration,dte,dte_category,strike,right,signal_underlying_return_15m_pct,decision_eligible_contract_count,feature_source_max_time,entry_quote_source_time,obs_underlying_price,obs_underlying_return_5m_pct,obs_underlying_return_10m_pct,obs_underlying_return_15m_pct,obs_underlying_return_30m_pct,obs_underlying_return_60m_pct,obs_underlying_acceleration_5m_pct,obs_underlying_ma_gap_pct,obs_underlying_macd_histogram,obs_underlying_rsi_14,obs_underlying_realized_volatility_proxy_30m_pct,obs_underlying_vwap_proxy_distance_pct,obs_opening_range_width_pct,obs_opening_range_width_vs_prior5,obs_distance_above_opening_range_high_pct,obs_distance_below_opening_range_low_pct,obs_distance_from_session_high_pct,obs_distance_from_session_low_pct,obs_midpoint,obs_relative_spread_pct,obs_quote_age_seconds,obs_delta,obs_theta,obs_implied_volatility,obs_calculated_gamma,obs_theta_burden_pct_per_provider_unit,obs_gamma_delta_pp_per_1pct_spot,obs_quote_observations_5m,obs_quote_update_count_5m,obs_valid_nbbo_rate_5m,obs_mean_source_sequence_gap_5m,obs_source_sequence_gap_5m,obs_spread_change_5m_pct_points,obs_premium_momentum_5m_pct,obs_premium_momentum_10m_pct,obs_premium_momentum_15m_pct,obs_premium_momentum_30m_pct,obs_premium_momentum_60m_pct,obs_premium_velocity_15m_pct_per_minute,obs_premium_acceleration_pct_per_minute2,obs_relative_volume_6bar,obs_relative_trade_count_6bar,obs_premium_turnover,obs_option_bar_range_pct,obs_option_vwap_deviation_pct,obs_option_macd_histogram,obs_option_rsi_14,obs_option_smi_10_3,obs_option_smi_signal_3,obs_option_atr_14_pct,obs_iv_change_5m_points,obs_iv_change_15m_points,obs_delta_drift_5m,obs_delta_drift_15m,obs_premium_underlying_divergence_15m_pct,direction_sign,obs_abs_delta,obs_delta_distance_050,obs_option_smi_gap,obs_log1p_premium_turnover,obs_directional_underlying_return_5m_pct,obs_directional_underlying_return_10m_pct,obs_directional_underlying_return_15m_pct,obs_directional_underlying_return_30m_pct,obs_directional_underlying_return_60m_pct,obs_directional_underlying_acceleration_5m_pct,obs_directional_ma_gap_pct,obs_directional_macd_histogram,obs_directional_vwap_distance_pct,obs_directional_opening_range_position_pct,obs_directional_distance_from_favorable_extreme_pct,entry_bid,entry_ask,entry_midpoint,entry_relative_spread_pct,entry_quote_age_seconds,entry_abs_delta,entry_delta_distance_050,entry_theta,entry_implied_volatility,entry_calculated_gamma,entry_theta_burden_pct_per_provider_unit,entry_gamma_delta_pp_per_1pct_spot,entry_minutes_from_open,entry_otm_pct,entry_premium_pct_underlying,invalidation_distance_underlying_pct,split,trailing_15m_underlying_low,trailing_15m_underlying_high,entry_underlying_price,invalidation_level,raw_entry_bid_difference,raw_entry_ask_difference,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf,executed,skip_reason
T000061,fixed_30m,ok,fixed_time,,2025-07-30 12:00:00-04:00,14.3,30.0,1565.0,-134.99999999999997,-8.626198083067093,loser,2025-07-30,TSLA,2025-07-30 11:25:00-04:00,2025-07-30 11:30:00-04:00,2025-07-30 11:30:00-04:00,11:30,Wednesday,TSLA250801P00332500,2025-08-01,2,2,332.5,put,-0.02824592787872282,2,2025-07-30 11:25:00-04:00,2025-07-30 11:30:00-04:00,318.54,0.14146939545411907,0.4699574199653167,-0.02824592787872282,-0.6890101325019438,-1.2799454551089329,-0.18655457552838595,-0.663765783642023,,18.573502541440362,0.8164469800246522,-0.7519713679214002,1.235410975912578,0.7094788747383642,-1.78219042920571,0.5650781691467266,-1.3227595179827079,0.4699574199653167,15.450000000000001,0.0,0.0,-0.8078000000000001,-0.9151,0.6156,0.017988111689818443,5.9229773462783175,5.729933097674767,5.0,3.0,0.8,0.0,0.0,-1.2738853503184782,-1.5923566878980777,-4.629629629629617,4.5685279187817285,19.075144508670515,34.934497816593904,0.2978162670106184,-0.0418630382468906,,,,,,,81.97780225196406,5.7099152351357905,5.423192312565767,,0.018399999999999972,0.09730000000000005,0.01539999999999997,0.041099999999999914,-4.098097726901515,-1.0,0.8078000000000001,0.3078000000000001,0.2867229225700232,,-0.14146939545411907,-0.4699574199653167,0.02824592787872282,0.6890101325019438,1.2799454551089329,0.18655457552838595,0.663765783642023,,0.7519713679214002,0.5650781691467266,-0.4699574199653167,15.6,15.65,15.625,0.32000000000000456,0.0,0.8663000000000001,0.36630000000000007,-0.5956,0.5199,0.01687052110059112,3.8118400000000006,5.358752322391764,120,-4.198496240601502,4.9051924405098255,0.31167359274650835,train,317.05,318.63,317.64,318.63,0.0,0.0,10,True,True,False,True,True,True,True,
T000069,fixed_30m,ok,fixed_time,,2025-07-31 12:00:00-04:00,1.42,30.0,182.0,-40.000000000000014,-21.97802197802199,loser,2025-07-31,NVDA,2025-07-31 11:25:00-04:00,2025-07-31 11:30:00-04:00,2025-07-31 11:30:00-04:00,11:30,Thursday,NVDA250801P00180000,2025-08-01,1,1,180.0,put,-0.3060826979798481,4,2025-07-31 11:25:00-04:00,2025-07-31 11:30:00-04:00,179.14000000000001,-0.07809013833109946,0.02791892344631286,-0.3060826979798481,-0.344904316866923,-1.4306151645207432,-0.18418204742708388,-0.5094745609773077,,12.723254449950304,0.46081441987035576,-0.9498212624377111,1.3012575177692702,1.6213391019154884,-2.055768179332962,0.7703472144691359,-1.7334064728469545,0.02791892344631286,2.2300000000000004,0.8968609865470859,0.0,-0.5691,-0.7226,0.4355,0.08817476417314608,32.403587443946186,15.79562725397739,5.0,5.0,1.0,0.0,0.0,0.42847691160562307,4.449648711943821,-0.6681514476614581,15.24547803617573,15.544041450777236,111.37440758293842,0.9459617266018827,-0.09126797224082375,0.7280680728667306,0.6093948370715193,280424.0,13.452914798206288,61.03293584001368,,82.45951208353948,63.44742298427422,64.27582743820037,13.549007046764894,0.005899999999999961,0.0020000000000000018,-0.011500000000000066,-0.048800000000000066,-1.2523414509209339,-1.0,0.5691,0.06910000000000005,-0.8284044539261473,12.544061588513424,0.07809013833109946,-0.02791892344631286,0.3060826979798481,0.344904316866923,1.4306151645207432,0.18418204742708388,0.5094745609773077,,0.9498212624377111,0.7703472144691359,-0.02791892344631286,1.81,1.82,1.815,0.5509641873278243,0.0,0.5036,0.0036000000000000476,-0.731,0.43060000000000004,0.09029529094942129,40.27548209366391,16.2423169359819,120,-0.47777777777776587,1.0131740538126603,-0.10562597287080149,train,178.77,179.69,179.88,179.69,0.0,0.0,10,True,True,False,True,True,True,True,
T000074,fixed_30m,ok,fixed_time,,2025-07-31 12:00:00-04:00,2.6,30.0,319.0,-58.999999999999986,-18.49529780564263,loser,2025-07-31,QQQ,2025-07-31 11:25:00-04:00,2025-07-31 11:30:00-04:00,2025-07-31 11:30:00-04:00,11:30,Thursday,QQQ250804P00569000,2025-08-04,4,4,569.0,put,-0.2141440381948745,22,2025-07-31 11:25:00-04:00,2025-07-31 11:30:00-04:00,568.49,-0.03165280391087544,-0.03516854525312807,-0.2141440381948745,-0.30164325423966964,-0.6570554827435515,-0.028135949385543757,-0.289046905093826,,17.33719353277499,0.27054300245632557,-0.5029159843425557,0.5552171264467939,1.9778973138596907,-1.054738490992957,0.5048461714366237,-0.7940108892921849,0.0,3.7300000000000004,0.5361930294906171,0.0,-0.5066,-0.3962,0.14880000000000002,0.044006204067930356,10.621983914209114,25.017086950577728,5.0,5.0,1.0,0.0,0.0,-0.28685223799910164,2.3319615912208658,2.0519835841313228,20.907617504051878,32.74021352313168,92.26804123711344,1.2657105086558218,-0.12495828560100572,0.591891891891892,0.7542857142857142,18617.0,9.80926430517712,43.906107321265495,,80.5480418069796,79.36782731380556,77.91593402067829,8.62203191903464,0.0,0.0029000000000000137,-0.007900000000000018,-0.054300000000000015,-4.373341941342343,-1.0,0.5066,0.00660000000000005,1.4518932931272701,9.831884133676436,0.03165280391087544,0.03516854525312807,0.2141440381948745,0.30164325423966964,0.6570554827435515,0.028135949385543757,0.289046905093826,,0.5029159843425557,0.5048461714366237,-0.0,3.17,3.19,3.1799999999999997,0.6289308176100635,0.0,0.465,0.034999999999999976,-0.3869,0.1448,0.044998925708073276,12.166666666666668,25.62328827669108,120,-0.08963093145869516,0.5593765941353409,0.05092901548945898,train,568.19,569.71,569.42,569.71,0.0,0.0,10,True,True,False,True,True,True,True,
T000078,fixed_30m,ok,fixed_time,,2025-07-31 12:00:00-04:00,2.59,30.0,271.0,-12.00000000000001,-4.428044280442811,loser,2025-07-31,TSLA,2025-07-31 11:25:00-04:00,2025-07-31 11:30:00-04:00,2025-07-31 11:30:00-04:00,11:30,Thursday,TSLA250801P00310000,2025-08-01,1,1,310.0,put,-0.7296711700229497,9,2025-07-31 11:25:00-04:00,2025-07-31 11:30:00-04:00,311.55,-0.32632690277377696,-0.40598427210535304,-0.7296711700229497,-0.8560336048879846,-1.7316426949280928,-0.24640873897351367,-0.6697534872503019,,17.619749495038718,0.7301201344087612,-1.5370641881632507,1.0200250312891264,0.6853384529514434,-2.98925735637553,2.034986358529922,-2.67104029990628,0.0,3.175,1.574803149606308,0.0,-0.4292,-1.6056000000000001,0.5529000000000001,0.0399042739727628,50.570078740157484,12.43217655621425,5.0,5.0,1.0,0.0,0.0,0.8448761423070373,15.875912408759119,17.59259259259258,40.79822616407982,45.977011494252885,128.4172661870503,2.281051062600089,0.04972966720419736,1.5089206066012488,1.2504780114722753,611164.0,23.750000000000007,77.13085194808593,,69.92714245133783,75.86326986382007,70.22369250248533,13.727678571428573,0.0026000000000000467,,-0.04049999999999998,,-10.067634177792272,-1.0,0.4292,0.07079999999999997,5.63957736133473,13.323122250796875,0.32632690277377696,0.40598427210535304,0.7296711700229497,0.8560336048879846,1.7316426949280928,0.24640873897351367,0.6697534872503019,,1.5370641881632507,2.034986358529922,-0.0,2.69,2.71,2.7,0.7407407407407414,0.0,0.3921,0.1079,-1.5347000000000002,0.5375,0.04011785519883278,56.84074074074075,12.533620321219336,120,0.5000000000000115,0.8666345690900338,0.454516356187189,train,311.55,313.84000000000003,312.42,313.84000000000003,0.0,0.0,10,True,True,False,True,True,True,True,
T000083,fixed_30m,ok,fixed_time,,2025-08-01 12:00:00-04:00,3.13,30.0,458.0,-145.00000000000003,-31.65938864628821,loser,2025-08-01,QQQ,2025-08-01 11:25:00-04:00,2025-08-01 11:30:00-04:00,2025-08-01 11:30:00-04:00,11:30,Friday,QQQ250805P00555000,2025-08-05,4,4,555.0,put,-0.09188030338516118,21,2025-08-01 11:25:00-04:00,2025-08-01 11:30:00-04:00,554.5600000000001,-0.07387786727209855,-0.06127230131554029,-0.09188030338516118,-0.12246956271161347,-0.24643390354900374,-0.08649275283706404,-0.1191179868160197,,29.20653837079921,0.09024097077597903,-0.10385224472788668,0.9644806298648987,3.1679263479195687,-0.7676478482598115,-0.1983554529717324,-0.44521039781701965,0.21504599092831977,4.505000000000001,0.6659267480577191,0.0,-0.5019,-0.4933,0.18630000000000002,0.036035685295773515,10.95005549389567,19.983949637624164,5.0,5.0,1.0,0.0,0.0,-0.04078703286099372,6.12485276796233,4.041570438799091,5.134189031505265,2.7366020524515644,11.786600496277956,0.3337822600703877,0.12513751334505377,1.9927404718693287,1.59375,83082.0,9.374999999999996,-1.3215859030836885,,77.11123387958511,41.45283700758949,35.76692389992703,10.395408163265307,0.0025000000000000022,-0.0010999999999999899,-0.014899999999999969,-0.018399999999999972,0.5424772261248156,-1.0,0.5019,0.0019000000000000128,5.685913107662458,11.327595387111819,0.07387786727209855,0.06127230131554029,0.09188030338516118,0.12246956271161347,0.24643390354900374,0.08649275283706404,0.1191179868160197,,0.10385224472788668,-0.1983554529717324,-0.21504599092831977,4.55,4.58,4.5649999999999995,0.6571741511500603,0.0,0.5089,0.008900000000000019,-0.4887,0.18480000000000002,0.03634706191498404,10.705366922234393,20.149720713809703,120,-0.07927927927926515,0.8231751298326601,0.22367732741670887,train,554.5600000000001,555.61,554.37,555.61,0.0,0.0,10,True,True,False,True,True,True,True,
T000088,fixed_30m,ok,fixed_time,,2025-08-01 12:00:00-04:00,2.96,30.0,433.0,-137.0,-31.639722863741337,loser,2025-08-01,SPY,2025-08-01 11:25:00-04:00,2025-08-01 11:30:00-04:00,2025-08-01 11:30:00-04:00,11:30,Friday,SPY250805P00622000,2025-08-05,4,4,622.0,put,-0.10927556726874066,17,2025-08-01 11:25:00-04:00,2025-08-01 11:30:00-04:00,621.6,-0.08519119798112706,-0.09000900090008201,-0.10927556726874066,-0.09803764002507265,-0.23432735210092703,-0.08036928721862902,-0.07724923118942462,,26.055842035976852,0.11198562274036869,-0.11939451819176217,0.7983394539358134,6.860756653188311,-0.7504390866996724,-0.04826254826254539,-0.4340792234627133,0.09178300565191311,4.29,0.46620046620045624,0.0,-0.4999,-0.46890000000000004,0.1597,0.03750448198294685,10.930069930069932,23.31278600059976,5.0,5.0,1.0,0.0,0.0,-0.2885165149316255,7.924528301886791,7.250000000000001,7.3842302878598165,2.508960573476693,10.141206675224645,0.47495435814458364,0.17157473774624302,0.16822429906542055,0.32926829268292684,7290.000000000001,10.823529411764705,4.938271604938249,,70.76385509674402,22.023178044280442,11.223531799814065,10.941176470588239,0.0022999999999999965,,-0.019999999999999962,,0.53093375360013,-1.0,0.4999,9.999999999998899e-05,10.799646244466377,8.89439598980643,0.08519119798112706,0.09000900090008201,0.10927556726874066,0.09803764002507265,0.23432735210092703,0.08036928721862902,0.07724923118942462,,0.11939451819176217,-0.04826254826254539,-0.09178300565191311,4.3100000000000005,4.33,4.32,0.46296296296295303,0.0,0.5037,0.0037000000000000366,-0.4666,0.159,0.03768965411625812,10.800925925925926,23.424120033254418,120,-0.06430868167202064,0.694980694980695,0.21560740144811455,train,621.6,622.84,621.5,622.84,0.0,0.0,10,True,True,False,True,True,True,True,
T000204,fixed_30m,ok,fixed_time,,2025-08-13 12:00:00-04:00,1.86,30.0,204.0,-17.999999999999993,-8.823529411764708,loser,2025-08-13,NVDA,2025-08-13 11:25:00-04:00,2025-08-13 11:30:00-04:00,2025-08-13 11:30:00-04:00,11:30,Wednesday,NVDA250815P00180000,2025-08-15,2,2,180.0,put,-0.1328903654484903,5,2025-08-13 11:25:00-04:00,2025-08-13 11:30:00-04:00,180.36,0.1554864504664577,0.1554864504664577,-0.1328903654484903,-0.5459057071960149,-0.6828193832599028,0.1554864504664577,-0.4796317606444167,,24.50255423043862,0.4985595136020429,-0.7545779483326909,0.7776134932369462,0.5712867130314084,-1.86092066601371,1.108893324462179,-1.7379460637428457,0.1554864504664577,1.9100000000000001,1.0471204188481569,0.0,-0.46340000000000003,-0.4692,0.3784,0.07513008800179809,24.565445026178008,13.550462672004304,5.0,5.0,1.0,0.0,0.0,-0.40566408478381644,-7.506053268765123,-8.830548926014304,8.831908831908851,35.943060498220646,42.53731343283582,0.5642292342713962,-0.2913352416172157,0.2786983212908133,0.42818590704647674,116280.00000000001,15.18324607329843,40.4411764705882,,70.46842168522079,34.12343546434471,41.601200847319504,15.44502617801047,-0.0029000000000000137,0.010000000000000009,0.021100000000000008,-0.019000000000000017,-3.016819583157514,-1.0,0.46340000000000003,0.036599999999999966,-7.477765382974795,11.663764954567034,-0.1554864504664577,-0.1554864504664577,0.1328903654484903,0.5459057071960149,0.6828193832599028,-0.1554864504664577,0.4796317606444167,,0.7545779483326909,1.108893324462179,-0.1554864504664577,2.02,2.04,2.0300000000000002,0.985221674876848,0.0,0.4808,0.019199999999999995,-0.4732,0.3808,0.07504057031403702,23.310344827586206,13.517057930667487,120,0.20000000000000018,1.1255267243291196,0.2609226669627485,train,179.56,180.6,180.13,180.6,0.0,0.0,10,True,True,False,True,True,True,True,
T000388,fixed_30m,ok,fixed_time,,2025-08-28 12:00:00-04:00,5.7,30.0,545.0,25.0,4.587155963302747,winner,2025-08-28,TSLA,2025-08-28 11:25:00-04:00,2025-08-28 11:30:00-04:00,2025-08-28 11:30:00-04:00,11:30,Thursday,TSLA250829P00345000,2025-08-29,1,1,345.0,put,-0.33310161047386266,10,2025-08-28 11:25:00-04:00,2025-08-28 11:30:00-04:00,344.09000000000003,-0.14509997388200135,-0.2522031539888503,-0.33310161047386266,-0.32444019582281713,-0.7327698121916582,-0.037841161266061185,-0.13670771118445835,,14.95969686565141,0.21333083493973443,-0.9107516017033079,0.9972078181092939,0.7486032117065288,-2.4466999319573635,1.4908890115957973,-2.2416046366270814,0.0,4.05,2.469135802469127,0.0,-0.5327000000000001,-1.4835,0.45890000000000003,0.04408119731721639,36.62962962962963,15.167899184880989,5.0,5.0,1.0,0.0,0.0,1.1446324912108417,7.284768211920523,12.5,16.546762589928043,11.724137931034484,27.55905511811023,1.0208160140112823,0.131582927395567,0.9680559021712003,1.580536912751678,406960.0,12.09876543209876,28.67726557892667,,74.15707637712333,-10.794774649453025,-7.29063931406058,14.603174603174606,0.0030999999999999917,0.0014000000000000123,-0.02190000000000003,-0.05070000000000002,-1.4710983213073678,-1.0,0.5327000000000001,0.03270000000000006,-3.504135335392445,12.916472636737582,0.14509997388200135,0.2522031539888503,0.33310161047386266,0.32444019582281713,0.7327698121916582,0.037841161266061185,0.13670771118445835,,0.9107516017033079,1.4908890115957973,-0.0,5.3500000000000005,5.45,5.4,1.8518518518518452,0.0,0.6215,0.12150000000000005,-1.4555,0.4743,0.04110870119496116,26.953703703703702,14.05712037361697,120,-0.2637681159420202,1.5693568543113718,0.962128966223138,train,343.8,345.24,341.95,345.24,0.0,0.0,10,True,True,False,True,True,True,True,
T000454,fixed_30m,ok,fixed_time,,2025-09-08 12:00:00-04:00,3.45,30.0,330.0,14.999999999999991,4.545454545454541,winner,2025-09-08,AAPL,2025-09-08 11:25:00-04:00,2025-09-08 11:30:00-04:00,2025-09-08 11:30:00-04:00,11:30,Monday,AAPL250912P00240000,2025-09-12,4,4,240.0,put,-0.1171254078474071,5,2025-09-08 11:25:00-04:00,2025-09-08 11:30:00-04:00,238.78,-0.012562288011386258,-0.12548101054040695,-0.1171254078474071,-0.1171254078474071,-0.18393110943900615,0.10037062147498776,-0.08016786453722835,,24.7850207472614,0.16806540469111328,-0.2091415384894879,0.4720922459893029,0.49690957231516103,-0.483454196882549,0.012563866320469685,-0.4004338032868926,0.0,3.2,3.1250000000000027,0.0,-0.5611,-0.2909,0.2554,0.060331834081505095,9.090625,14.406035341981786,5.0,4.0,1.0,0.0,0.0,1.5501968503936947,0.7874015748031704,5.960264900662238,4.918032786885251,4.918032786885251,7.925801011804401,0.3200614612424039,-0.04533857663263269,0.8492063492063492,1.2753623188405796,30873.0,7.8125,10.905969617465082,,72.40769678063947,49.55150121889207,41.98594079129909,5.6026785714285765,0.0013000000000000234,,-0.0014000000000000679,,-0.014158205190078377,-1.0,0.5611,0.06110000000000004,7.5655604275929775,10.337669684741787,0.012562288011386258,0.12548101054040695,0.1171254078474071,0.1171254078474071,0.18393110943900615,-0.10037062147498776,0.08016786453722835,,0.2091415384894879,0.012563866320469685,-0.0,3.2,3.3000000000000003,3.25,3.0769230769230793,0.0,0.5666,0.06659999999999999,-0.2902,0.2556,0.0601970671786218,8.92923076923077,14.368437964865237,120,-0.5083333333333329,1.361085518050088,0.2388034689345985,train,238.65,239.26,238.69,239.26,0.0,0.0,10,True,True,False,True,True,True,True,
T000495,fixed_30m,ok,fixed_time,,2025-09-10 12:00:00-04:00,2.42,30.0,255.00000000000003,-13.000000000000034,-5.09803921568629,loser,2025-09-10,QQQ,2025-09-10 11:25:00-04:00,2025-09-10 11:30:00-04:00,2025-09-10 11:30:00-04:00,11:30,Wednesday,QQQ250912P00582000,2025-09-12,2,2,582.0,put,-0.13552692525432564,8,2025-09-10 11:25:00-04:00,2025-09-10 11:30:00-04:00,582.12,-0.01717563807496214,-0.14237927781114434,-0.13552692525432564,-0.14580510146320336,-0.1988753257440634,0.10804950987941542,-0.07205970661404715,,23.327293149945888,0.12436606056475646,-0.09819488550893984,0.35290892893854225,1.3216325547158816,-0.274104022476529,-0.0790215075929468,-0.1988753257440634,0.07392253605871257,2.66,0.7518796992481209,0.0,-0.48200000000000004,-0.6033000000000001,0.1553,0.056899929425385326,22.680451127819552,33.12258691710531,5.0,5.0,1.0,0.0,0.0,0.3723730578818882,0.9487666034155628,14.163090128755362,13.191489361702157,15.15151515151516,21.461187214611854,0.8260719642502685,-0.004540268903422051,8.675446848541863,2.659340659340659,384088.00000000006,5.617977528089901,6.845045926975057,,75.40603417505912,45.289781530784715,21.90660637529524,7.463884430176564,-0.0009000000000000119,,-0.005599999999999994,,1.104147501982487,-1.0,0.48200000000000004,0.01799999999999996,23.383175155489475,12.858629575548488,0.01717563807496214,0.14237927781114434,0.13552692525432564,0.14580510146320336,0.1988753257440634,-0.10804950987941542,0.07205970661404715,,0.09819488550893984,-0.0790215075929468,-0.07392253605871257,2.5300000000000002,2.5500000000000003,2.54,0.7874015748031503,0.0,0.46940000000000004,0.03059999999999996,-0.6007,0.15460000000000002,0.05707110695554968,23.6496062992126,33.2347884244948,120,0.020618556701035295,0.4363361506218649,0.116770271662594,train,581.97,583.02,582.34,583.02,0.0,0.0,10,True,True,False,True,True,True,True,
