exit_id,split,feature,winner_non_null,loser_non_null,winner_mean,loser_mean,winner_median,loser_median,median_difference_winner_minus_loser,cliffs_delta,absolute_cliffs_delta,hedges_g,mann_whitney_p,bh_q_within_exit_split
end_of_session_1555,full,entry_otm_pct,1395,2057,-0.1076314294239317,-0.18864313613406417,-0.014386419220258073,-0.04972650422676583,0.03534008500650776,0.1122088575944018,0.1122088575944018,0.1518556565499039,2.1111624259609424e-08,1.8155996863264105e-06
end_of_session_1555,full,obs_abs_delta,1395,2057,0.5156517562724015,0.5260947496353913,0.5031,0.5079,-0.0048000000000000265,-0.10486406239381918,0.10486406239381918,-0.1462231850968236,1.6417316515890562e-07,7.059446101832942e-06
end_of_session_1555,full,entry_abs_delta,1395,2057,0.5153172759856631,0.5260116674769082,0.5029,0.5093,-0.006399999999999961,-0.10047586438823286,0.10047586438823286,-0.14465680892692656,5.253826036893301e-07,1.5060967972427463e-05
end_of_session_1555,full,obs_relative_spread_pct,1395,2057,1.173815471935993,1.271907576162101,0.9049773755656116,1.0050251256281415,-0.10004775006252986,-0.06918660470497628,0.06918660470497628,-0.10696748288481907,0.0005512826225898644,0.011852576385682084
end_of_session_1555,full,obs_theta_burden_pct_per_provider_unit,1395,2057,21.648886648286965,20.997160068902488,17.145129224652088,16.24770642201835,0.8974228026337379,0.06285069079617989,0.06285069079617989,0.05326423584202248,0.001700155971237663,0.02741105502005434
end_of_session_1555,full,entry_theta_burden_pct_per_provider_unit,1395,2057,21.723019268486546,21.059967588364565,17.24936170212766,16.26031746031746,0.9890442418102019,0.06215684532055077,0.06215684532055077,0.053608504799469166,0.0019123991874456518,0.02741105502005434
end_of_session_1555,full,obs_underlying_return_30m_pct,1395,2057,0.10305720805557378,-0.01370673899716168,0.022831451202165454,0.0044869206263786765,0.018344530575786777,0.05477371611578952,0.05477371611578952,0.0663788102340521,0.006240568247511696,0.07029415178583559
end_of_session_1555,full,entry_relative_spread_pct,1395,2057,1.2013743846271614,1.2825314011147901,0.9302325581395315,1.0050251256281373,-0.07479256748860574,-0.05446495313667987,0.05446495313667987,-0.0861045598661466,0.006538990863798659,0.07029415178583559
end_of_session_1555,full,obs_delta_drift_15m,1020,1539,0.004398627450980392,4.7303443794672856e-05,0.003699999999999981,0.0009000000000000119,0.002799999999999969,0.05054338824548665,0.05054338824548665,0.12257635622797582,0.030173940166135903,0.2594958854287688
end_of_session_1555,full,obs_underlying_return_15m_pct,1395,2057,0.16700095246771168,-0.002163480136291169,0.018175484300919642,0.004376750700285648,0.013798733600633994,0.046475101193058865,0.046475101193058865,0.07005218475511799,0.02031323787943574,0.19410427307016376
end_of_session_1555,full,obs_underlying_ma_gap_pct,1113,1635,0.01945608006819361,-0.0033081481920363485,0.010958619139689318,0.00011518521207953825,0.01084343392760978,0.04302777022181559,0.04302777022181559,0.05726271537313391,0.055181367713491386,0.354143502316773
end_of_session_1555,full,obs_option_atr_14_pct,1042,1509,8.127810902186,8.386728623644363,7.6480300679837585,7.825295723384892,-0.1772656554011336,-0.04029311018088522,0.04029311018088522,-0.07147412400664262,0.08322044222880806,0.35784790158387464
end_of_session_1555,full,obs_directional_underlying_acceleration_5m_pct,1395,2057,0.027235653597537095,0.008823696541532285,-0.006945358259802248,-2.8527906037467687e-06,-0.006942505469198501,-0.03892051444233613,0.03892051444233613,0.005989044664117912,0.05197915395589829,0.354143502316773
end_of_session_1555,full,entry_delta_distance_050,1395,2057,0.0423810752688172,0.04778152649489549,0.023500000000000076,0.0257,-0.0021999999999999242,-0.03860269069860234,0.03860269069860234,-0.08674783638328211,0.05392491926020912,0.354143502316773
end_of_session_1555,full,obs_directional_underlying_return_5m_pct,1395,2057,0.12142953958129268,0.06042664163315924,0.03180714823806108,0.035415781272130076,-0.0036086330340689976,-0.037912678623391094,0.037912678623391094,0.03574604923717447,0.05835981657798554,0.354143502316773
end_of_session_1555,full,obs_delta_distance_050,1395,2057,0.03659369175627241,0.043180602819640264,0.016800000000000037,0.018299999999999983,-0.0014999999999999458,-0.03741120015054811,0.03741120015054811,-0.10477965022063807,0.06176921552036739,0.354143502316773
end_of_session_1555,full,obs_premium_momentum_5m_pct,1395,2057,2.5652932788295537,2.9904798678969455,1.7167381974249052,2.0000000000000018,-0.2832618025750966,-0.03671665769302479,0.03671665769302479,-0.06292092634748345,0.0667576310274895,0.35784790158387464
end_of_session_1555,full,obs_iv_change_15m_points,1020,1539,-0.011795294117647058,-0.0008014944769330741,-0.0009000000000000119,-0.000800000000000009,-0.00010000000000000286,-0.03665800303227207,0.03665800303227207,-0.0717988207036343,0.11588750636968592,0.433318502077956
end_of_session_1555,full,obs_underlying_return_10m_pct,1395,2057,0.08871599797307554,0.0008467461453897037,0.009529935911167797,0.004981650919111402,0.004548284992056395,0.036188345417256906,0.036188345417256906,0.051224661130350235,0.07077970753401508,0.35784790158387464
end_of_session_1555,full,obs_premium_acceleration_pct_per_minute2,1395,2057,0.03193801009852928,0.03925927091765637,0.02658890712685571,0.028510288153656006,-0.0019213810268002979,-0.0355199397807644,0.0355199397807644,-0.05933655996375668,0.07614360912311857,0.35784790158387464
end_of_session_1555,full,entry_premium_pct_underlying,1395,2057,1.1604217544359612,1.22181279816048,1.0029415186213084,1.0108315116451079,-0.007889993023799446,-0.03164437195832748,0.03164437195832748,-0.0803731386361585,0.1141058675849627,0.433318502077956
end_of_session_1555,full,obs_distance_from_session_high_pct,1395,2057,-0.610710004087129,-0.6427815361691368,-0.3599897145795894,-0.39758941848633267,0.037599703906743276,0.03160603795414896,0.03160603795414896,0.04183752917773075,0.11433057500933032,0.433318502077956
end_of_session_1555,full,obs_midpoint,1395,2057,4.358311827956989,4.476905687894992,3.7,3.8899999999999997,-0.1899999999999995,-0.03047448784899187,0.03047448784899187,-0.04956587024327587,0.12811086811514757,0.4590639440792788
end_of_session_1555,full,obs_underlying_vwap_proxy_distance_pct,1395,2057,0.05449268973409647,0.007954574022810289,0.033548821582174426,0.013190158844134103,0.020358662738040323,0.029454106355952137,0.029454106355952137,0.06935221161550106,0.14138765204480197,0.47025851604957
end_of_session_1555,full,entry_ask,1395,2057,4.381562724014337,4.508060281964025,3.72,3.9,-0.17999999999999972,-0.02903487174661923,0.02903487174661923,-0.052128203656315014,0.1471369382981965,0.47025851604957
end_of_session_1555,full,obs_distance_above_opening_range_high_pct,1395,2057,-0.4417500644771934,-0.4867222813286282,-0.27689660734449006,-0.34022394487511765,0.06332733753062758,0.02899026490539347,0.02899026490539347,0.04134916664312693,0.14776162008221055,0.47025851604957
