trade_id,exit_id,leaf_id,keep_baseline,keep_inclusion,skip_exclusion,keep_exclusion,keep_combined,keep_quality_top_leaf
T001035,underlying_invalidation_eod,8,True,True,True,False,False,False
T001049,underlying_invalidation_eod,4,True,True,True,False,False,False
T001045,underlying_invalidation_eod,5,True,False,True,False,False,False
T001041,underlying_invalidation_eod,9,True,False,True,False,False,False
T001046,underlying_invalidation_eod,5,True,False,True,False,False,False
T001042,underlying_invalidation_eod,9,True,False,True,False,False,False
T001037,underlying_invalidation_eod,8,True,True,True,False,False,False
T001050,underlying_invalidation_eod,8,True,True,True,False,False,False
T001044,underlying_invalidation_eod,8,True,True,True,False,False,False
T001055,underlying_invalidation_eod,8,True,True,True,False,False,False
T001040,underlying_invalidation_eod,5,True,False,True,False,False,False
T001048,underlying_invalidation_eod,5,True,False,True,False,False,False
T001051,underlying_invalidation_eod,4,True,True,True,False,False,False
T001047,underlying_invalidation_eod,8,True,True,True,False,False,False
T001056,underlying_invalidation_eod,8,True,True,True,False,False,False
T001054,underlying_invalidation_eod,8,True,True,True,False,False,False
T001053,underlying_invalidation_eod,8,True,True,True,False,False,False
T001043,underlying_invalidation_eod,12,True,True,False,True,True,True
T001039,underlying_invalidation_eod,8,True,True,True,False,False,False
T001038,underlying_invalidation_eod,5,True,False,True,False,False,False
T001052,underlying_invalidation_eod,9,True,False,True,False,False,False
T001068,underlying_invalidation_eod,8,True,True,True,False,False,False
T001057,underlying_invalidation_eod,8,True,True,True,False,False,False
T001062,underlying_invalidation_eod,12,True,True,False,True,True,True
T001071,underlying_invalidation_eod,8,True,True,True,False,False,False
T001069,underlying_invalidation_eod,4,True,True,True,False,False,False
T001066,underlying_invalidation_eod,4,True,True,True,False,False,False
T001063,underlying_invalidation_eod,8,True,True,True,False,False,False
T001059,underlying_invalidation_eod,8,True,True,True,False,False,False
T001072,underlying_invalidation_eod,9,True,False,True,False,False,False
T001067,underlying_invalidation_eod,8,True,True,True,False,False,False
T001064,underlying_invalidation_eod,8,True,True,True,False,False,False
T001060,underlying_invalidation_eod,8,True,True,True,False,False,False
T001058,underlying_invalidation_eod,8,True,True,True,False,False,False
T001061,underlying_invalidation_eod,8,True,True,True,False,False,False
T001065,underlying_invalidation_eod,12,True,True,False,True,True,True
T001070,underlying_invalidation_eod,4,True,True,True,False,False,False
T001073,underlying_invalidation_eod,12,True,True,False,True,True,True
T001077,underlying_invalidation_eod,4,True,True,True,False,False,False
T001076,underlying_invalidation_eod,8,True,True,True,False,False,False
T001075,underlying_invalidation_eod,4,True,True,True,False,False,False
T001078,underlying_invalidation_eod,4,True,True,True,False,False,False
T001079,underlying_invalidation_eod,8,True,True,True,False,False,False
T001074,underlying_invalidation_eod,8,True,True,True,False,False,False
T001080,underlying_invalidation_eod,8,True,True,True,False,False,False
T001098,underlying_invalidation_eod,9,True,False,True,False,False,False
T001085,underlying_invalidation_eod,8,True,True,True,False,False,False
T001081,underlying_invalidation_eod,11,True,True,True,False,False,False
T001086,underlying_invalidation_eod,5,True,False,True,False,False,False
T001091,underlying_invalidation_eod,4,True,True,True,False,False,False
T001099,underlying_invalidation_eod,5,True,False,True,False,False,False
T001095,underlying_invalidation_eod,11,True,True,True,False,False,False
T001082,underlying_invalidation_eod,8,True,True,True,False,False,False
T001083,underlying_invalidation_eod,2,True,True,False,True,True,False
T001092,underlying_invalidation_eod,2,True,True,False,True,True,False
T001090,underlying_invalidation_eod,8,True,True,True,False,False,False
T001100,underlying_invalidation_eod,8,True,True,True,False,False,False
T001088,underlying_invalidation_eod,5,True,False,True,False,False,False
T001093,underlying_invalidation_eod,4,True,True,True,False,False,False
T001087,underlying_invalidation_eod,8,True,True,True,False,False,False
T001084,underlying_invalidation_eod,5,True,False,True,False,False,False
T001094,underlying_invalidation_eod,8,True,True,True,False,False,False
T001097,underlying_invalidation_eod,4,True,True,True,False,False,False
T001101,underlying_invalidation_eod,8,True,True,True,False,False,False
T001089,underlying_invalidation_eod,8,True,True,True,False,False,False
T001096,underlying_invalidation_eod,4,True,True,True,False,False,False
T001102,underlying_invalidation_eod,8,True,True,True,False,False,False
T001116,underlying_invalidation_eod,9,True,False,True,False,False,False
T001109,underlying_invalidation_eod,8,True,True,True,False,False,False
T001113,underlying_invalidation_eod,8,True,True,True,False,False,False
T001108,underlying_invalidation_eod,2,True,True,False,True,True,False
T001117,underlying_invalidation_eod,5,True,False,True,False,False,False
T001114,underlying_invalidation_eod,4,True,True,True,False,False,False
T001110,underlying_invalidation_eod,4,True,True,True,False,False,False
T001103,underlying_invalidation_eod,12,True,True,False,True,True,True
T001104,underlying_invalidation_eod,5,True,False,True,False,False,False
T001111,underlying_invalidation_eod,4,True,True,True,False,False,False
T001118,underlying_invalidation_eod,9,True,False,True,False,False,False
T001105,underlying_invalidation_eod,5,True,False,True,False,False,False
T001119,underlying_invalidation_eod,9,True,False,True,False,False,False
T001112,underlying_invalidation_eod,4,True,True,True,False,False,False
T001115,underlying_invalidation_eod,4,True,True,True,False,False,False
T001120,underlying_invalidation_eod,9,True,False,True,False,False,False
T001106,underlying_invalidation_eod,5,True,False,True,False,False,False
T001107,underlying_invalidation_eod,9,True,False,True,False,False,False
T001133,underlying_invalidation_eod,4,True,True,True,False,False,False
T001121,underlying_invalidation_eod,5,True,False,True,False,False,False
T001127,underlying_invalidation_eod,8,True,True,True,False,False,False
T001134,underlying_invalidation_eod,4,True,True,True,False,False,False
T001124,underlying_invalidation_eod,8,True,True,True,False,False,False
T001129,underlying_invalidation_eod,5,True,False,True,False,False,False
T001128,underlying_invalidation_eod,8,True,True,True,False,False,False
T001125,underlying_invalidation_eod,8,True,True,True,False,False,False
T001132,underlying_invalidation_eod,4,True,True,True,False,False,False
T001123,underlying_invalidation_eod,8,True,True,True,False,False,False
T001139,underlying_invalidation_eod,9,True,False,True,False,False,False
T001122,underlying_invalidation_eod,8,True,True,True,False,False,False
T001126,underlying_invalidation_eod,5,True,False,True,False,False,False
T001130,underlying_invalidation_eod,8,True,True,True,False,False,False
T001131,underlying_invalidation_eod,8,True,True,True,False,False,False
T001135,underlying_invalidation_eod,9,True,False,True,False,False,False
T001136,underlying_invalidation_eod,12,True,True,False,True,True,True
T001137,underlying_invalidation_eod,8,True,True,True,False,False,False
T001138,underlying_invalidation_eod,12,True,True,False,True,True,True
T001153,underlying_invalidation_eod,5,True,False,True,False,False,False
T001143,underlying_invalidation_eod,9,True,False,True,False,False,False
T001149,underlying_invalidation_eod,12,True,True,False,True,True,True
T001141,underlying_invalidation_eod,5,True,False,True,False,False,False
T001147,underlying_invalidation_eod,12,True,True,False,True,True,True
T001155,underlying_invalidation_eod,12,True,True,False,True,True,True
T001151,underlying_invalidation_eod,12,True,True,False,True,True,True
T001154,underlying_invalidation_eod,12,True,True,False,True,True,True
T001145,underlying_invalidation_eod,12,True,True,False,True,True,True
T001150,underlying_invalidation_eod,4,True,True,True,False,False,False
T001146,underlying_invalidation_eod,2,True,True,False,True,True,False
T001142,underlying_invalidation_eod,8,True,True,True,False,False,False
T001148,underlying_invalidation_eod,8,True,True,True,False,False,False
T001157,underlying_invalidation_eod,9,True,False,True,False,False,False
T001140,underlying_invalidation_eod,12,True,True,False,True,True,True
T001144,underlying_invalidation_eod,9,True,False,True,False,False,False
T001152,underlying_invalidation_eod,8,True,True,True,False,False,False
T001156,underlying_invalidation_eod,12,True,True,False,True,True,True
T001159,underlying_invalidation_eod,4,True,True,True,False,False,False
T001164,underlying_invalidation_eod,8,True,True,True,False,False,False
T001163,underlying_invalidation_eod,8,True,True,True,False,False,False
T001158,underlying_invalidation_eod,8,True,True,True,False,False,False
T001160,underlying_invalidation_eod,12,True,True,False,True,True,True
T001161,underlying_invalidation_eod,8,True,True,True,False,False,False
T001162,underlying_invalidation_eod,8,True,True,True,False,False,False
T001165,underlying_invalidation_eod,12,True,True,False,True,True,True
T001174,underlying_invalidation_eod,4,True,True,True,False,False,False
T001171,underlying_invalidation_eod,4,True,True,True,False,False,False
T001168,underlying_invalidation_eod,8,True,True,True,False,False,False
T001172,underlying_invalidation_eod,8,True,True,True,False,False,False
T001175,underlying_invalidation_eod,4,True,True,True,False,False,False
T001179,underlying_invalidation_eod,9,True,False,True,False,False,False
T001166,underlying_invalidation_eod,8,True,True,True,False,False,False
T001167,underlying_invalidation_eod,5,True,False,True,False,False,False
T001173,underlying_invalidation_eod,4,True,True,True,False,False,False
T001170,underlying_invalidation_eod,8,True,True,True,False,False,False
T001180,underlying_invalidation_eod,8,True,True,True,False,False,False
T001181,underlying_invalidation_eod,9,True,False,True,False,False,False
T001169,underlying_invalidation_eod,8,True,True,True,False,False,False
T001176,underlying_invalidation_eod,8,True,True,True,False,False,False
T001177,underlying_invalidation_eod,9,True,False,True,False,False,False
T001178,underlying_invalidation_eod,9,True,False,True,False,False,False
T001190,underlying_invalidation_eod,4,True,True,True,False,False,False
T001185,underlying_invalidation_eod,8,True,True,True,False,False,False
T001186,underlying_invalidation_eod,4,True,True,True,False,False,False
T001191,underlying_invalidation_eod,4,True,True,True,False,False,False
T001194,underlying_invalidation_eod,2,True,True,False,True,True,False
T001183,underlying_invalidation_eod,9,True,False,True,False,False,False
T001188,underlying_invalidation_eod,4,True,True,True,False,False,False
T001196,underlying_invalidation_eod,8,True,True,True,False,False,False
T001197,underlying_invalidation_eod,2,True,True,False,True,True,False
T001193,underlying_invalidation_eod,8,True,True,True,False,False,False
T001184,underlying_invalidation_eod,8,True,True,True,False,False,False
T001182,underlying_invalidation_eod,8,True,True,True,False,False,False
T001187,underlying_invalidation_eod,4,True,True,True,False,False,False
T001189,underlying_invalidation_eod,4,True,True,True,False,False,False
T001192,underlying_invalidation_eod,8,True,True,True,False,False,False
T001195,underlying_invalidation_eod,8,True,True,True,False,False,False
