exit_id,setup_id,symbol,sessions_with_trades,candidate_count,completed_trades,unavailable_trades,wins,losses,flats,win_rate,gross_profit_dollars,gross_loss_dollars,profit_factor,total_pnl_dollars,expectancy_dollars,mean_return_pct,median_return_pct,unconstrained_end_balance,return_on_initial_balance_pct,realized_max_drawdown_dollars,realized_max_drawdown_pct,trades_per_21_sessions
end_of_session_1555,baseline,AAPL,180,608,608,0,213,389,6,0.3503289473684211,14958.0,-26114.0,0.5727962012713487,-11156.0,-18.348684210526315,-4.948588888758509,-8.434484905073148,88844.0,-11.156,11241.0,11.231453264724983,70.93333333333334
end_of_session_1555,baseline,NVDA,181,620,620,0,250,360,10,0.4032258064516129,18294.0,-25550.0,0.7160078277886497,-7256.000000000001,-11.703225806451615,-2.4456854360206433,-4.608249226999589,92744.0,-7.256000000000001,8505.0,8.407972003084407,71.93370165745857
end_of_session_1555,baseline,QQQ,209,757,757,0,307,447,3,0.40554821664464996,38812.0,-43720.0,0.887740164684355,-4908.000000000001,-6.483487450462353,-0.9204892627863267,-5.56792873051225,95092.0,-4.908000000000001,9084.0,8.997177239637498,76.0622009569378
end_of_session_1555,baseline,SPY,208,716,716,0,298,411,7,0.41620111731843573,32696.0,-36572.0,0.8940172809799847,-3876.0,-5.41340782122905,-1.8290354357376972,-6.1309722686267945,96124.0,-3.8760000000000003,8250.0,8.188585607940446,72.28846153846155
end_of_session_1555,baseline,TSLA,181,781,781,0,327,450,4,0.4186939820742638,69082.0,-77804.0,0.8878977944578685,-8722.0,-11.167733674775928,-0.9709977390294077,-4.642857142857149,91278.0,-8.722000000000001,9869.0,9.867519872019196,90.61325966850829
end_of_session_1555,inclusion,AAPL,180,608,608,0,213,389,6,0.3503289473684211,14958.0,-26114.0,0.5727962012713487,-11156.0,-18.348684210526315,-4.948588888758509,-8.434484905073148,88844.0,-11.156,11241.0,11.231453264724983,70.93333333333334
end_of_session_1555,inclusion,NVDA,181,620,620,0,250,360,10,0.4032258064516129,18294.0,-25550.0,0.7160078277886497,-7256.000000000001,-11.703225806451615,-2.4456854360206433,-4.608249226999589,92744.0,-7.256000000000001,8505.0,8.407972003084407,71.93370165745857
end_of_session_1555,inclusion,QQQ,209,757,757,0,307,447,3,0.40554821664464996,38812.0,-43720.0,0.887740164684355,-4908.000000000001,-6.483487450462353,-0.9204892627863267,-5.56792873051225,95092.0,-4.908000000000001,9084.0,8.997177239637498,76.0622009569378
end_of_session_1555,inclusion,SPY,208,716,716,0,298,411,7,0.41620111731843573,32696.0,-36572.0,0.8940172809799847,-3876.0,-5.41340782122905,-1.8290354357376972,-6.1309722686267945,96124.0,-3.8760000000000003,8250.0,8.188585607940446,72.28846153846155
end_of_session_1555,inclusion,TSLA,181,781,781,0,327,450,4,0.4186939820742638,69082.0,-77804.0,0.8878977944578685,-8722.0,-11.167733674775928,-0.9709977390294077,-4.642857142857149,91278.0,-8.722000000000001,9869.0,9.867519872019196,90.61325966850829
end_of_session_1555,exclusion,AAPL,74,122,122,0,58,63,1,0.47540983606557374,3579.0,-2887.0,1.2396951853134741,692.0000000000008,5.67213114754099,1.9928369095699177,-1.5051020408163363,100692.0,0.6920000000000007,488.0,0.48616230648149994,34.62162162162162
end_of_session_1555,exclusion,NVDA,122,267,267,0,122,142,3,0.45692883895131087,9935.0,-9437.0,1.0527710077355092,498.0,1.8651685393258426,0.6752320908132126,-3.9215686274509776,100498.0,0.498,1352.0,1.3274553505679976,45.95901639344262
end_of_session_1555,exclusion,QQQ,140,293,293,0,145,147,1,0.4948805460750853,18357.0,-14205.0,1.2922914466737065,4152.0,14.170648464163822,4.576733698366013,-0.1865671641790967,104152.0,4.152,2384.0,2.3075285053332557,43.95
end_of_session_1555,exclusion,SPY,145,291,291,0,145,142,4,0.49828178694158076,17034.0,-12012.0,1.4180819180819182,5022.0,17.257731958762886,5.574469841811324,0.0,105022.0,5.022,1070.0,1.0507399369556036,42.144827586206894
end_of_session_1555,exclusion,TSLA,101,228,228,0,112,116,0,0.49122807017543857,24645.0,-18651.0,1.3213768698729291,5993.999999999999,26.289473684210524,3.5537618133572675,-1.2207602339181223,105994.0,5.994,1746.0,1.6996339848921422,47.4059405940594
end_of_session_1555,combined,AAPL,74,122,122,0,58,63,1,0.47540983606557374,3579.0,-2887.0,1.2396951853134741,692.0000000000008,5.67213114754099,1.9928369095699177,-1.5051020408163363,100692.0,0.6920000000000007,488.0,0.48616230648149994,34.62162162162162
end_of_session_1555,combined,NVDA,122,267,267,0,122,142,3,0.45692883895131087,9935.0,-9437.0,1.0527710077355092,498.0,1.8651685393258426,0.6752320908132126,-3.9215686274509776,100498.0,0.498,1352.0,1.3274553505679976,45.95901639344262
end_of_session_1555,combined,QQQ,140,293,293,0,145,147,1,0.4948805460750853,18357.0,-14205.0,1.2922914466737065,4152.0,14.170648464163822,4.576733698366013,-0.1865671641790967,104152.0,4.152,2384.0,2.3075285053332557,43.95
end_of_session_1555,combined,SPY,145,291,291,0,145,142,4,0.49828178694158076,17034.0,-12012.0,1.4180819180819182,5022.0,17.257731958762886,5.574469841811324,0.0,105022.0,5.022,1070.0,1.0507399369556036,42.144827586206894
end_of_session_1555,combined,TSLA,101,228,228,0,112,116,0,0.49122807017543857,24645.0,-18651.0,1.3213768698729291,5993.999999999999,26.289473684210524,3.5537618133572675,-1.2207602339181223,105994.0,5.994,1746.0,1.6996339848921422,47.4059405940594
end_of_session_1555,quality_top_leaf,AAPL,21,23,23,0,14,9,0,0.6086956521739131,922.0,-286.0000000000001,3.2237762237762224,636.0,27.652173913043477,12.22871685850205,4.761904761904767,100636.0,0.636,157.0,0.15659598236549702,23.000000000000004
end_of_session_1555,quality_top_leaf,NVDA,14,15,15,0,10,5,0,0.6666666666666666,704.0,-239.00000000000003,2.945606694560669,465.0,31.0,11.981122976808248,12.5,100465.0,0.46499999999999997,140.0,0.139588214766439,22.5
end_of_session_1555,quality_top_leaf,QQQ,44,57,57,0,36,21,0,0.631578947368421,4112.0,-1430.0,2.8755244755244753,2682.0,47.05263157894737,12.886096516916446,11.111111111111116,102682.0,2.682,332.0,0.332,27.204545454545453
end_of_session_1555,quality_top_leaf,SPY,59,73,73,0,54,18,1,0.7397260273972602,5189.0,-1104.0,4.70018115942029,4085.0,55.95890410958904,20.66610051158084,16.231884057971,104085.0,4.085,226.0,0.2231547765983708,25.983050847457626
