exit_id,setup_id,candidate_completed_trades,executed_trades,capital_skips,initial_cash,end_balance,total_pnl_dollars,return_on_initial_pct,minimum_cash,maximum_capital_committed,maximum_open_positions,realized_max_drawdown_dollars,realized_max_drawdown_pct,wins,losses,flats,win_rate,expectancy_dollars,profit_factor
pt40_sl20_eod,baseline,3484,3484,0,100000.0,85195.0,-14805.0,-14.804999999999998,69144.0,30856.0,21,22735.0,22.71228771228771,1303,2163,18,0.3739954075774971,-4.249425947187142,0.9125356680786204
pt40_sl20_eod,combined,1017,1017,0,100000.0,116331.0,16331.0,16.331,96695.0,3305.0,9,1879.0,1.6472052738621221,473,537,7,0.46509341199606685,16.05801376597837,1.406678785765869
pt40_sl20_eod,exclusion,1017,1017,0,100000.0,116331.0,16331.0,16.331,96695.0,3305.0,9,1879.0,1.6472052738621221,473,537,7,0.46509341199606685,16.05801376597837,1.406678785765869
pt40_sl20_eod,inclusion,3225,3225,0,100000.0,90672.0,-9328.0,-9.328,75228.0,24772.0,20,16628.0,16.512413108242306,1226,1981,18,0.3801550387596899,-2.892403100775194,0.9401283697047497
pt40_sl20_eod,quality_top_leaf,107,107,0,100000.0,105367.0,5367.000000000001,5.367000000000001,98346.0,1654.0,5,547.0,0.5194139263704646,65,42,0,0.6074766355140186,50.158878504672906,2.6756166094286606
underlying_invalidation_eod,baseline,3486,3486,0,100000.0,72476.0,-27524.0,-27.523999999999997,62567.0,37433.0,16,28570.0,28.57,811,2641,34,0.23264486517498564,-7.895582329317269,0.8033241393108771
underlying_invalidation_eod,combined,622,622,0,100000.0,104188.0,4188.0,4.188,97259.0,2741.0,9,5133.0,4.772885768747966,226,382,14,0.3633440514469453,6.733118971061093,1.1433559252413226
underlying_invalidation_eod,exclusion,622,622,0,100000.0,104188.0,4188.0,4.188,97259.0,2741.0,9,5133.0,4.772885768747966,226,382,14,0.3633440514469453,6.733118971061093,1.1433559252413226
underlying_invalidation_eod,inclusion,2768,2768,0,100000.0,84779.0,-15221.0,-15.221000000000002,75742.0,24258.0,14,17856.0,17.75391498881432,729,2012,27,0.2633670520231214,-5.498916184971098,0.8607703776881351
underlying_invalidation_eod,quality_top_leaf,506,506,0,100000.0,104614.0,4614.0,4.614,97374.0,2626.0,9,4883.0,4.532838245532607,189,316,1,0.37351778656126483,9.118577075098814,1.1634778911564625
