trade_id,session_date,symbol,decision_time,entry_time,entry_quote_timestamp,entry_slot,weekday,contract_id,expiration,dte,dte_category,strike,right,signal_underlying_return_15m_pct,decision_eligible_contract_count,feature_source_max_time,entry_quote_source_time,obs_underlying_price,obs_underlying_return_5m_pct,obs_underlying_return_10m_pct,obs_underlying_return_15m_pct,obs_underlying_return_30m_pct,obs_underlying_return_60m_pct,obs_underlying_acceleration_5m_pct,obs_underlying_ma_gap_pct,obs_underlying_macd_histogram,obs_underlying_rsi_14,obs_underlying_realized_volatility_proxy_30m_pct,obs_underlying_vwap_proxy_distance_pct,obs_opening_range_width_pct,obs_opening_range_width_vs_prior5,obs_distance_above_opening_range_high_pct,obs_distance_below_opening_range_low_pct,obs_distance_from_session_high_pct,obs_distance_from_session_low_pct,obs_midpoint,obs_relative_spread_pct,obs_quote_age_seconds,obs_delta,obs_theta,obs_implied_volatility,obs_calculated_gamma,obs_theta_burden_pct_per_provider_unit,obs_gamma_delta_pp_per_1pct_spot,obs_quote_observations_5m,obs_quote_update_count_5m,obs_valid_nbbo_rate_5m,obs_mean_source_sequence_gap_5m,obs_source_sequence_gap_5m,obs_spread_change_5m_pct_points,obs_premium_momentum_5m_pct,obs_premium_momentum_10m_pct,obs_premium_momentum_15m_pct,obs_premium_momentum_30m_pct,obs_premium_momentum_60m_pct,obs_premium_velocity_15m_pct_per_minute,obs_premium_acceleration_pct_per_minute2,obs_relative_volume_6bar,obs_relative_trade_count_6bar,obs_premium_turnover,obs_option_bar_range_pct,obs_option_vwap_deviation_pct,obs_option_macd_histogram,obs_option_rsi_14,obs_option_smi_10_3,obs_option_smi_signal_3,obs_option_atr_14_pct,obs_iv_change_5m_points,obs_iv_change_15m_points,obs_delta_drift_5m,obs_delta_drift_15m,obs_premium_underlying_divergence_15m_pct,direction_sign,obs_abs_delta,obs_delta_distance_050,obs_option_smi_gap,obs_log1p_premium_turnover,obs_directional_underlying_return_5m_pct,obs_directional_underlying_return_10m_pct,obs_directional_underlying_return_15m_pct,obs_directional_underlying_return_30m_pct,obs_directional_underlying_return_60m_pct,obs_directional_underlying_acceleration_5m_pct,obs_directional_ma_gap_pct,obs_directional_macd_histogram,obs_directional_vwap_distance_pct,obs_directional_opening_range_position_pct,obs_directional_distance_from_favorable_extreme_pct,entry_bid,entry_ask,entry_midpoint,entry_relative_spread_pct,entry_quote_age_seconds,entry_abs_delta,entry_delta_distance_050,entry_theta,entry_implied_volatility,entry_calculated_gamma,entry_theta_burden_pct_per_provider_unit,entry_gamma_delta_pp_per_1pct_spot,entry_minutes_from_open,entry_otm_pct,entry_premium_pct_underlying,invalidation_distance_underlying_pct,split,trailing_15m_underlying_low,trailing_15m_underlying_high,entry_underlying_price,invalidation_level,raw_entry_bid_difference,raw_entry_ask_difference
T000001,2025-07-25,QQQ,2025-07-25 11:25:00-04:00,2025-07-25 11:30:00-04:00,2025-07-25 11:30:00-04:00,11:30,Friday,QQQ250729C00566000,2025-07-29,4,4,566.0,call,0.06892285941504372,14,2025-07-25 11:25:00-04:00,2025-07-25 11:30:00-04:00,566.24,0.003532195966227114,0.04240282685512575,0.06892285941504372,0.05654509471304525,0.0636177281402528,-0.035337061984308527,0.021641930577986912,,43.22330686484749,0.054167181002139075,0.07584344130970866,0.3044517213912784,,0.040635324464233236,-0.3443769426391685,0.0,0.2602829470403911,2.41,0.8298755186721999,0.0,0.5407000000000001,-0.2901,0.0883,0.07407470075395252,12.037344398340249,41.94405855491807,5.0,5.0,1.0,0.0,0.0,-0.41752572872903915,0.20790020790020236,5.010893246187376,8.558558558558582,5.701754385964897,3.87931034482758,0.5474636774558379,0.020666485702639868,0.24000000000000002,0.975,2961.0000000000005,6.666666666666673,5.3698074974670496,,32.812170964392635,-6.1047001939674015,-19.538858529900807,5.892857142857142,0.0,,0.0015000000000000568,,0.19738914689153297,1.0,0.5407000000000001,0.04070000000000007,13.434158335933406,7.993619994827744,0.003532195966227114,0.04240282685512575,0.06892285941504372,0.05654509471304525,0.0636177281402528,-0.035337061984308527,0.021641930577986912,,0.07584344130970866,0.040635324464233236,0.0,2.45,2.48,2.465,1.2170385395537446,0.0,0.5499,0.049900000000000055,-0.28850000000000003,0.0877,0.07439980077066323,11.703853955375255,42.13707116447283,120,-0.04238485447867202,0.4353277762079683,0.09004873225510115,train,565.85,566.3100000000001,566.36,565.85,0.0,0.0
T000002,2025-07-25,SPY,2025-07-25 13:25:00-04:00,2025-07-25 13:30:00-04:00,2025-07-25 13:30:00-04:00,13:30,Friday,SPY250729C00636000,2025-07-29,4,4,636.0,call,0.018843037497640047,13,2025-07-25 13:25:00-04:00,2025-07-25 13:30:00-04:00,636.96,0.03140900810352232,-0.006279434850853249,0.018843037497640047,0.015702038124554285,0.059693989757758636,0.06908561720870843,0.014001918393669044,0.0023639607947547048,69.7786434045559,0.06011034998914658,0.15161348597274582,0.08975812547241907,,0.2313175659727218,-0.32027128862096577,-0.006279434850853249,0.3228804082468395,2.645,0.37807183364838515,0.0,0.6047,-0.2736,0.0719,0.0792700106106916,10.344045368620037,50.49182595858612,5.0,5.0,1.0,0.0,0.0,-0.02112976315801135,5.588822355289436,-0.18867924528302993,3.7254901960784403,2.9182879377431803,9.751037344398327,0.2438513742661863,0.07772830679276128,0.664968152866242,1.4074074074074074,17944.0,6.818181818181824,27.998216674097186,0.007811504239987194,66.42475281452604,56.57387383689264,60.970053335429284,4.680735930735929,0.000800000000000009,0.000800000000000009,0.015000000000000013,0.008599999999999941,-0.9815327948794925,1.0,0.6047,0.10470000000000002,-4.396179498536647,9.795066803581708,0.03140900810352232,-0.006279434850853249,0.018843037497640047,0.015702038124554285,0.059693989757758636,0.06908561720870843,0.014001918393669044,0.0023639607947547048,0.15161348597274582,0.2313175659727218,-0.006279434850853249,2.7,2.72,2.71,0.7380073800738014,0.0,0.6098,0.10980000000000001,-0.276,0.0728,0.07803105057669452,10.18450184501845,49.708900459377475,240,-0.15071590052750938,0.4254584275307711,0.04552304407885904,train,636.75,637.0,637.04,636.75,0.0,0.0
T000003,2025-07-28,AAPL,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,10:30,Monday,AAPL250801P00215000,2025-08-01,4,4,215.0,put,-0.013987318164865314,5,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,214.45000000000002,-0.06058346537421988,-0.07455384185266478,-0.013987318164865314,0.2805704933364517,,-0.04660462002684662,,,,0.1934663777947942,0.13371253926479643,0.4252535165194619,1.0868264872190205,-0.04660918200884989,-0.37771042200979155,-0.07455384185266478,0.30871415875393104,4.475,1.117318435754186,0.0,-0.5066,-0.48750000000000004,0.46040000000000003,0.03751717127375091,10.893854748603355,8.045557379655884,5.0,5.0,1.0,0.0,0.0,-0.012625067070668461,1.1299435028248261,1.1299435028248261,0.561797752808979,-6.770833333333359,,0.03734837032446592,0.06641113073755398,0.37847866419294995,0.5753424657534247,16013.999999999998,2.8634361233480154,-3.6093418259023347,,,-66.54275092936817,-71.67717256613342,,-0.0015000000000000013,0.0010999999999999899,-0.0050000000000000044,-0.0010999999999999899,-0.2222251448226798,-1.0,0.5066,0.00660000000000005,5.1344216367652535,9.681281062043258,0.06058346537421988,0.07455384185266478,0.013987318164865314,-0.2805704933364517,,0.04660462002684662,,,-0.13371253926479643,-0.37771042200979155,-0.30871415875393104,4.3500000000000005,4.45,4.4,2.2727272727272645,0.0,0.5038,0.0038000000000000256,-0.4847,0.45730000000000004,0.037776364607339706,11.01590909090909,8.104163499212587,60,-0.25581395348835967,2.0517603170902308,0.0745816435929691,train,214.32,214.69,214.53,214.69,0.0,0.0
T000008,2025-07-28,NVDA,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,10:30,Monday,NVDA250801C00175000,2025-08-01,4,4,175.0,call,0.05145797598626878,6,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,174.99,0.06862240521530172,0.17173278378843637,0.05145797598626878,-0.017140898183065634,,-0.03441726505775122,,,,0.4577322190585302,0.039498370692214735,0.7987587633605254,0.9905179207644305,-0.2394390285616499,-0.5543173895651177,-0.2394390285616499,0.33254973912046903,2.56,0.7812499999999833,0.0,0.5121,-0.30810000000000004,0.33540000000000003,0.06309207052118807,12.03515625,11.0404814205027,5.0,5.0,1.0,0.0,0.0,0.38204840319358685,2.1956087824351433,5.785123966942152,0.7874015748031482,-3.2136105860113395,,0.05228784974017279,0.028958031939524027,0.5090948698398867,0.3258807588075881,816392.0,9.411764705882343,-2.6717557251908386,,,-11.041009463722306,-10.398553512348908,,0.0,-0.002899999999999958,0.00759999999999994,0.005599999999999938,1.0138764121712331,1.0,0.5121,0.0121,-0.6424559513733978,13.612651135652749,0.06862240521530172,0.17173278378843637,0.05145797598626878,-0.017140898183065634,,-0.03441726505775122,,,0.039498370692214735,-0.2394390285616499,-0.2394390285616499,2.5100000000000002,2.5300000000000002,2.5200000000000005,0.7936507936507942,0.0,0.5077,0.00770000000000004,-0.30770000000000003,0.33490000000000003,0.06325481321524713,12.210317460317459,11.06453192761103,60,0.005714612263552077,1.4400822904165955,0.17722387377086798,train,174.61,175.1,174.92000000000002,174.61,0.0,0.0
T000012,2025-07-28,QQQ,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,10:30,Monday,QQQ250731P00569000,2025-07-31,3,3,569.0,put,-0.09843211699359644,23,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,568.36,-0.035176586464058524,-0.07032843378577125,-0.09843211699359644,-0.03166004150982893,,-1.2369571178449945e-05,,,,0.11055123404294456,-0.027184081002162852,0.2008032128514032,0.6595568319790607,-0.08789508842246274,-0.11260468717010363,-0.09843211699359644,0.04752768047315836,3.9299999999999997,0.5089058524173032,0.0,-0.5147,-0.5387000000000001,0.17400000000000002,0.04283612586433875,13.707379134860053,24.34634049625557,5.0,5.0,1.0,0.0,0.0,-0.27336272646144,2.4771838331160367,4.799999999999982,7.08446866485013,0.898587933247752,,0.45631842543127316,0.08778239503196102,6.39344262295082,2.368421052631579,51248.0,5.852417302798981,-0.3083047143303208,,,-22.746781115879823,-28.040057224606578,,,,,,0.24245976111758072,-1.0,0.5147,0.014700000000000046,5.293276108726754,10.844451384615168,0.035176586464058524,0.07032843378577125,0.09843211699359644,0.03166004150982893,,1.2369571178449945e-05,,,0.027184081002162852,-0.11260468717010363,-0.04752768047315836,3.83,3.87,3.85,1.0389610389610398,0.0,0.5115000000000001,0.011500000000000066,-0.5338,0.1723,0.043287337144471826,13.864935064935066,24.606253926403568,60,-0.11247803163444425,0.6773875712576536,0.08444162972343686,train,567.95,568.92,568.44,568.92,0.0,0.0
T000017,2025-07-28,SPY,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,10:30,Monday,SPY250801P00638000,2025-08-01,4,4,638.0,put,-0.04860305415321786,18,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,637.51,-0.05017010802251809,-0.07053733776413162,-0.04860305415321786,0.03609088626663759,,-0.029792654890659076,,,,0.08215140608305724,-0.00655918164227387,0.0768651565539147,0.8563587547016439,-0.025091348189498763,-0.05176389389969227,-0.07053733776413162,0.03766064619392662,4.085,0.24479804161566185,0.0,-0.5035000000000001,-0.433,0.1458,0.0398556273522205,10.599755201958384,25.40836099331409,5.0,4.0,1.0,0.0,0.0,-0.010629800019070906,4.342273307790556,5.829015544041449,3.417721518987338,-2.9691211401425166,,0.22404099599290314,0.08175430776892778,4.969325153374233,0.7021276595744681,109155.0,5.778894472361819,-1.5528377078466327,,,-59.99999999999988,-64.44444444444433,,0.00040000000000001146,-0.0007999999999999952,-0.012800000000000034,-0.012400000000000022,0.40135162478138264,-1.0,0.5035000000000001,0.0035000000000000586,4.44444444444445,11.600533330691745,0.05017010802251809,0.07053733776413162,0.04860305415321786,-0.03609088626663759,,0.029792654890659076,,,0.00655918164227387,-0.05176389389969227,-0.03766064619392662,3.95,3.96,3.955,0.25284450063210584,0.0,0.49470000000000003,0.005299999999999971,-0.4319,0.1452,0.04002094196697035,10.920353982300885,25.522555320596002,60,-0.07680250783699272,0.6203824253737197,0.042337666410547065,train,637.4300000000001,638.0,637.73,638.0,0.0,0.0
T000020,2025-07-28,TSLA,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,2025-07-28 10:30:00-04:00,10:30,Monday,TSLA250801C00325000,2025-08-01,4,4,325.0,call,0.5012066085019473,11,2025-07-28 10:25:00-04:00,2025-07-28 10:30:00-04:00,324.84000000000003,-0.14140793114048034,0.12637548931972997,0.5012066085019473,1.0325951729285965,,-0.4095705548189388,,,,1.1000458600984495,1.065743474866787,1.8200106874548205,1.6009871790841932,0.8256254267800633,-2.601280630464242,-0.14140793114048034,2.421490730230791,7.35,1.3605442176870821,0.0,0.5114000000000001,-0.8866,0.5265000000000001,0.021652380437761874,12.062585034013606,7.0335592614025675,5.0,5.0,1.0,0.0,0.0,0.7048065127690517,-3.60655737704918,2.4390243902438824,12.643678160919535,24.576271186440657,,0.7937290667732528,-0.3452242195021501,1.1009983954359066,1.0745587340231284,2523041.0,17.006802721088434,19.934436261638243,,,76.29179331306993,79.503921347893,,-0.0021999999999999797,0.0027000000000000357,-0.009899999999999909,0.03540000000000004,-1.3155103192144857,1.0,0.5114000000000001,0.011400000000000077,-3.212128034823067,14.740975874333627,-0.14140793114048034,0.12637548931972997,0.5012066085019473,1.0325951729285965,,-0.4095705548189388,,,1.065743474866787,0.8256254267800633,-0.14140793114048034,7.5,7.55,7.525,0.6644518272425225,0.0,0.5181,0.018100000000000005,-0.8891,0.5275000000000001,0.021586169611011948,11.815282392026576,7.018743049020536,60,0.04925501785493225,2.3165250584903334,0.7504228817469027,train,322.71,325.90000000000003,325.15000000000003,322.71,0.0,0.0
T000004,2025-07-28,AAPL,2025-07-28 11:25:00-04:00,2025-07-28 11:30:00-04:00,2025-07-28 11:30:00-04:00,11:30,Monday,AAPL250801P00215000,2025-08-01,4,4,215.0,put,-0.04196195449459594,5,2025-07-28 11:25:00-04:00,2025-07-28 11:30:00-04:00,214.39000000000001,0.07468608504876961,-0.05594144795113554,-0.04196195449459594,-0.04196195449459594,-0.02797854977850678,0.20521613026809327,-0.05050858257376056,,36.60905092953709,0.16836889759486326,0.027385477988173257,0.4252535165194619,1.0868264872190205,-0.07457469121416871,-0.3498297495219016,-0.2001675821618032,0.2806492352308343,4.425000000000001,1.1299435028248546,0.0,-0.5094000000000001,-0.48250000000000004,0.45380000000000004,0.03825687680619973,10.903954802259888,8.20189181848116,5.0,2.0,1.0,0.0,0.0,0.02497112713425076,-2.20994475138121,1.1428571428571566,1.1428571428571566,0.5681818181818343,-1.1173184357541666,0.07575839100210165,-0.014644720055575119,3.5510204081632653,1.4516129032258063,40345.0,4.494382022471914,-4.040153674556935,,60.808435579250634,22.27084253974804,10.646496376172577,2.905296950240768,,0.0010000000000000009,,-0.0034000000000000696,-0.10722410054422582,-1.0,0.5094000000000001,0.009400000000000075,11.624346163575462,10.605247536194296,-0.07468608504876961,0.05594144795113554,0.04196195449459594,0.04196195449459594,0.02797854977850678,-0.20521613026809327,0.05050858257376056,,-0.027385477988173257,-0.3498297495219016,-0.2806492352308343,4.3500000000000005,4.4,4.375,1.1428571428571388,0.0,0.5081,0.008099999999999996,-0.47950000000000004,0.45080000000000003,0.03852300047339289,10.96,8.260486991509637,120,-0.28372093023255607,2.040673538877746,0.03730821247026259,train,214.20000000000002,214.51,214.43,214.51,0.0,0.0
T000013,2025-07-28,QQQ,2025-07-28 11:25:00-04:00,2025-07-28 11:30:00-04:00,2025-07-28 11:30:00-04:00,11:30,Monday,QQQ250801P00568000,2025-08-01,4,4,568.0,put,-0.11613380021469055,24,2025-07-28 11:25:00-04:00,2025-07-28 11:30:00-04:00,567.65,0.04053434845441295,-0.09152190365558921,-0.11613380021469055,-0.08097023463766728,-0.1249208248293443,0.1725370941115245,-0.07875828831988008,,30.621965859190098,0.1563183957474888,-0.1227051122285272,0.2008032128514032,0.6595568319790607,-0.21270611398235273,0.012331542323629208,-0.22322997961048419,0.04053434845441295,4.295,0.6984866123399359,0.0,-0.49870000000000003,-0.47350000000000003,0.1754,0.037392678013391835,11.0244470314319,21.225953674301874,5.0,5.0,1.0,0.0,0.0,-0.19437053051720754,-4.129464285714302,5.39877300613496,7.509386733416767,4.247572815533984,4.884004884004867,0.48271984145320374,-0.020012436406028712,3.1,0.8028169014084506,154488.0,10.465116279069772,3.5420226813733136,,47.67438124163877,29.787523143226128,25.055492996433564,4.152823920265778,-0.0030000000000000027,-0.0006000000000000172,0.008299999999999974,-0.02460000000000001,0.14508951541562443,-1.0,0.49870000000000003,0.0012999999999999678,4.732030146792564,11.947878175374278,-0.04053434845441295,0.09152190365558921,0.11613380021469055,0.08097023463766728,0.1249208248293443,-0.1725370941115245,0.07875828831988008,,0.1227051122285272,0.012331542323629208,-0.04053434845441295,4.12,4.15,4.135,0.7255139056831983,0.0,0.48860000000000003,0.011399999999999966,-0.47140000000000004,0.1743,0.03761119871321969,11.400241837968563,21.360151973211725,120,-0.061619718309857685,0.7284418215449661,0.06867164389352376,train,566.91,568.3100000000001,567.92,568.3100000000001,0.0,0.0
T000021,2025-07-28,TSLA,2025-07-28 11:25:00-04:00,2025-07-28 11:30:00-04:00,2025-07-28 11:30:00-04:00,11:30,Monday,TSLA250801P00327500,2025-08-01,4,4,327.5,put,-0.10658383579997821,10,2025-07-28 11:25:00-04:00,2025-07-28 11:30:00-04:00,328.03000000000003,0.3272571568387672,0.152657771807152,-0.10658383579997821,0.7153822536076326,0.9820219184829337,0.501287016698948,0.40339371891195963,,71.28737674699236,0.9056051609005198,1.2730457660221406,1.8200106874548205,1.6009871790841932,1.8157551679185646,-3.548455933908501,-0.10658383579997821,3.427292218438649,6.95,1.4388489208633042,0.0,-0.4737,-0.8496,0.5206000000000001,0.021753857731081138,12.224460431654677,7.1359179515265465,5.0,4.0,1.0,0.0,0.0,0.7699525997930724,-7.0234113712374535,-3.472222222222221,1.4598540145985384,-13.664596273291929,-19.884726224783865,0.09662004868378056,-0.04930177056921774,0.8895184135977338,0.8148148148148148,496627.00000000006,10.503597122302164,-12.115128657926377,,20.789299028069294,-70.41569515278664,-72.07081972304832,11.13052415210689,9.999999999998899e-05,-0.0040000000000000036,0.023299999999999987,-0.007500000000000007,0.923142954170102,-1.0,0.4737,0.02629999999999999,1.6551245702616768,13.115596533873887,-0.3272571568387672,-0.152657771807152,0.10658383579997821,-0.7153822536076326,-0.9820219184829337,-0.501287016698948,-0.40339371891195963,,-1.2730457660221406,-3.548455933908501,-3.427292218438649,7.15,7.25,7.2,1.388888888888884,0.0,0.4884,0.0116,-0.8409000000000001,0.5156000000000001,0.022057532361605705,11.679166666666669,7.220753793895244,120,0.16183206106870074,2.194921196232052,0.4459921798631413,train,326.79,328.82,327.36,328.82,0.0,0.0
