exit_id,split,feature,category,winner_count,loser_count,category_count,category_win_rate,winner_share_in_category,loser_share_in_category,odds_ratio_category_vs_rest,cramers_v_feature,chi_square_p_feature,bh_q_within_exit_split
end_of_session_1555,full,dte_category,1,281,430,711,0.3952180028129395,0.2014336917562724,0.20904229460379192,0.95487421899791,0.06589480334308123,0.0018260597596040805,0.009130298798020402
end_of_session_1555,full,dte_category,2,339,510,849,0.3992932862190813,0.24301075268817204,0.24793388429752067,0.9741036899970473,0.06589480334308123,0.0018260597596040805,0.009130298798020402
end_of_session_1555,full,dte_category,3,426,515,941,0.4527098831030818,0.3053763440860215,0.25036460865337873,1.3163389289928664,0.06589480334308123,0.0018260597596040805,0.009130298798020402
end_of_session_1555,full,dte_category,4,349,602,951,0.3669821240799159,0.25017921146953404,0.2926592124453087,0.8067948288406525,0.06589480334308123,0.0018260597596040805,0.009130298798020402
end_of_session_1555,full,weekday,Friday,179,290,469,0.3816631130063966,0.12831541218637993,0.14098201263976665,0.8977711090973016,0.05655853189797373,0.026090604922716427,0.04348434153786071
end_of_session_1555,full,weekday,Monday,301,447,748,0.40240641711229946,0.21577060931899641,0.21730675741370928,0.9913779154788671,0.05655853189797373,0.026090604922716427,0.04348434153786071
end_of_session_1555,full,weekday,Thursday,249,416,665,0.3744360902255639,0.17849462365591398,0.2022362664073894,0.8576742515584516,0.05655853189797373,0.026090604922716427,0.04348434153786071
end_of_session_1555,full,weekday,Tuesday,367,447,814,0.45085995085995084,0.2630824372759857,0.21730675741370928,1.2859400928292273,0.05655853189797373,0.026090604922716427,0.04348434153786071
end_of_session_1555,full,weekday,Wednesday,299,457,756,0.3955026455026455,0.21433691756272402,0.22216820612542537,0.9555485785621912,0.05655853189797373,0.026090604922716427,0.04348434153786071
end_of_session_1555,full,symbol,AAPL,213,389,602,0.3538205980066445,0.15268817204301074,0.18911035488575595,0.7734201434592515,0.04847467859750007,0.08757847962946694,0.10947309953683368
end_of_session_1555,full,symbol,NVDA,250,360,610,0.4098360655737705,0.17921146953405018,0.1750121536217793,1.0297152640344447,0.04847467859750007,0.08757847962946694,0.10947309953683368
end_of_session_1555,full,symbol,QQQ,307,447,754,0.40716180371352784,0.22007168458781362,0.21730675741370928,1.0166802246954576,0.04847467859750007,0.08757847962946694,0.10947309953683368
end_of_session_1555,full,symbol,SPY,298,411,709,0.4203102961918195,0.21362007168458783,0.19980554205153137,1.0882575830964554,0.04847467859750007,0.08757847962946694,0.10947309953683368
end_of_session_1555,full,symbol,TSLA,327,450,777,0.42084942084942084,0.23440860215053763,0.2187651920272241,1.0936867838314108,0.04847467859750007,0.08757847962946694,0.10947309953683368
end_of_session_1555,full,right,call,772,1040,1812,0.4260485651214128,0.5534050179211469,0.5055906660184735,1.2115863271274412,0.04639418034716514,0.006413986194511309,0.016034965486278273
end_of_session_1555,full,right,put,623,1017,1640,0.3798780487804878,0.44659498207885306,0.4944093339815265,0.8253642168205275,0.04639418034716514,0.006413986194511309,0.016034965486278273
end_of_session_1555,full,entry_slot,10:30,282,422,704,0.4005681818181818,0.2021505376344086,0.20515313563441906,0.9820917571599759,0.012750281138537736,0.967277126463899,0.9672771264638989
end_of_session_1555,full,entry_slot,11:30,276,408,684,0.40350877192982454,0.1978494623655914,0.19834710743801653,0.9973125788910616,0.012750281138537736,0.967277126463899,0.9672771264638989
end_of_session_1555,full,entry_slot,12:30,272,412,684,0.39766081871345027,0.1949820788530466,0.20029168692270297,0.9675365133309058,0.012750281138537736,0.967277126463899,0.9672771264638989
end_of_session_1555,full,entry_slot,13:30,287,403,690,0.41594202898550725,0.2057347670250896,0.19591638308215847,1.0634703449015968,0.012750281138537736,0.967277126463899,0.9672771264638989
end_of_session_1555,full,entry_slot,14:30,278,412,690,0.4028985507246377,0.1992831541218638,0.20029168692270297,0.9941492780150498,0.012750281138537736,0.967277126463899,0.9672771264638989
end_of_session_1555,heldout,weekday,Friday,107,119,226,0.47345132743362833,0.2192622950819672,0.17655786350148367,1.3098756834122078,0.08391838581296647,0.08509502377083146,0.14966006027788184
end_of_session_1555,heldout,weekday,Monday,97,127,224,0.4330357142857143,0.1987704918032787,0.1884272997032641,1.0694162722560288,0.08391838581296647,0.08509502377083146,0.14966006027788184
end_of_session_1555,heldout,weekday,Thursday,79,150,229,0.34497816593886466,0.16188524590163936,0.22255192878338279,0.6765847662857629,0.08391838581296647,0.08509502377083146,0.14966006027788184
